article_transformed,views_ceil,rank
José de San Martín,41600,1
Taliban,14300,2
Afghanistan,13100,3
Cleopatra,10400,4
El_reino_(serie_de_televisión),10100,5
Sebastián Battaglia,7100,6
Crossing of the Andes,5400,7
Fabiola Yáñez,5300,8
Climate of Buenos Aires,5100,9
Argentina,4500,10
Periodic table,4300,11
MILF,3800,12
Hebe de Bonafini,3600,13
Battle of San Lorenzo,3400,14
YouTube,3200,15
Bacha bazi,3000,16
Alberto Fernández,2900,17
La voz (Argentina),2900,17
Mercedes_Tomasa_San_Martín_y_Escalada,2800,19
Lucas Barrios,2700,20
Mau y Ricky,2700,20
Translation,2600,22
2021 Argentine legislative election,2500,23
Army of the Andes,2500,23
United States,2500,23
Anexo:Presidentes_de_la_Nación_Argentina,2400,26
Lionel Messi,2300,27
MercadoLibre,2300,27
Website,2300,27
Juan Manuel de Rosas,2300,27
Buenos Aires,2300,27
Darío_Barassi,2200,32
Argentina at the Olympics,2200,32
Sharia,2200,32
Osama bin Laden,2200,32
Federico García Lorca,2100,36
August 18,2100,36
Ricardo Fort,2100,36
María de los Remedios de Escalada,2100,36
Olympic Games,2000,40
Okupas_(serie_de_televisión),2000,40
Zodiac,2000,40
Olimpia Award,1900,43
Manuel Belgrano,1900,43
Javier Milei,1900,43
Victoria Tolosa Paz,1900,43
Al-Qaeda,1800,47
Club Atlético River Plate,1800,47
Battle of Chacabuco,1700,49
Islam,1700,49
Burqa,1700,49
Treatment of women by the Taliban,1600,52
Diego Costa,1600,52
Axel Kicillof,1600,52
Steve Jobs,1600,52
Scarlett Johansson,1600,52
Boca Juniors,1600,52
English language,1500,58
Social networking service,1500,58
Deus ex machina,1500,58
Juan Perón,1500,58
May Revolution,1500,58
Deutsche Welle,1500,58
Televisión_Pública_Argentina,1400,64
Miguel Ángel Russo,1400,64
Claudia Piñeiro,1400,64
Malala Yousafzai,1300,67
Emirato_Islámico_de_Afganistán,1300,67
Kabul,1300,67
Javier Pastore,1300,67
Ricardo Montaner,1300,67
