article_transformed,views_ceil,rank
Afghanistan,16900,1
Taliban,14800,2
The Wall (2012 film),4000,3
Franz Josef Altenburg,3800,4
Sharia,3600,5
The Shawshank Redemption,2800,6
Sean_Lock,2100,7
Austria,2000,8
Clemens_Salvator_von_Österreich-Toskana,2000,8
Mohammed Omar,1900,10
Footloose (1984 film),1800,11
The Wall (novel),1700,12
COVID-19 pandemic in Austria,1600,13
Kabul,1500,14
Ahmad Shah Massoud,1500,14
Eine_gute_Mutter_(2017),1500,14
Krieg_in_Afghanistan_2001–2021,1400,17
Indersee,1300,18
Dennis Aogo,1300,18
Gerd Müller,1300,18
Die_schwarze_Katze_(Die_drei_Fragezeichen),1200,21
