article_transformed,views_ceil,rank
Sean_Lock,61400,1
Taliban,27600,2
Afghanistan,16800,3
Rita_Ora,10600,4
Islamic_Emirate_of_Afghanistan,7600,5
Deaths_in_2021,6200,6
COVID-19_pandemic_in_Australia,6000,7
8_Out_of_10_Cats_Does_Countdown,5600,8
Sharia,5600,8
What_If...?_(TV_series),5600,8
Jessica_Mauboy,5400,11
The_White_Lotus,5100,12
Ashraf_Ghani,5000,13
Flag_of_Afghanistan,4800,14
Nine_Perfect_Strangers_(miniseries),4800,14
Fall_of_Kabul_(2021),4700,16
Absolute_Power_(film),4600,17
Incel,4300,18
Evel_Knievel,4200,19
Gladys_Berejiklian,4200,19
Panjshir_resistance,4000,21
Australia,3900,22
Nicole_Kidman,3900,22
2021_Taliban_offensive,3800,24
Scarlett_Johansson,3700,25
Beckett_(film),3600,26
The_Suicide_Squad_(film),3500,27
Osama_bin_Laden,3500,27
Kerry_Chant,3500,27
Al-Qaeda,3400,30
Hibatullah_Akhundzada,3400,30
Shang-Chi_and_the_Legend_of_the_Ten_Rings,3400,30
War_in_Afghanistan_(2001–present),3400,30
Amrullah_Saleh,3400,30
Islamic_Republic_of_Afghanistan,3300,35
Keith_Urban,3300,35
Soviet–Afghan_War,3300,35
Battle_of_Long_Tan,3200,38
Mohammed_Omar,3100,39
Rick_and_Morty_(season_5),3000,40
Bell's_palsy,2800,41
Ahmad_Shah_Massoud,2700,42
John_Howard,2700,42
Val_Kilmer,2700,42
Christopher_Duntsch,2700,42
Free_Guy,2700,42
Eddie_Betts,2700,42
Kurt_Fearnley,2500,48
RFDS_(TV_series),2500,48
Hamid_Karzai,2500,48
The_Bachelor_(Australian_season_9),2400,51
8_Out_of_10_Cats,2400,51
Vikram_Batra,2400,51
Australian_Broadcasting_Corporation,2300,54
G.I._Joe:_The_Rise_of_Cobra,2300,54
Abdul_Ghani_Baradar,2300,54
Boeing_C-17_Globemaster_III,2200,57
Thank_You/en,2200,57
Patty_Mills,2200,57
Australian_Survivor:_Brains_V_Brawn,2200,57
Hazaras,2200,57
Aaliyah,2100,62
Rachel_Riley,2000,63
Snake_Eyes_(2021_film),2000,63
The_Kid_Laroi,2000,63
Edgar_Sengier,2000,63
Northern_Alliance,2000,63
War_of_the_Worlds_(2019_TV_series),2000,63
Ivermectin,2000,63
Malala_Yousafzai,1900,70
List_of_8_Out_of_10_Cats_Does_Countdown_episodes,1900,70
Star_Wars:_Visions,1900,70
Katy_Gallagher,1900,70
Kabul,1900,70
Jan_Fran,1900,70
United_States,1900,70
History_of_Afghanistan,1900,70
Guy_Sebastian,1900,70
Dennis_Nilsen,1900,70
Murray_Bartlett,1900,70
Wilcannia,1900,70
The_Voice_(Australian_TV_series),1800,82
Layne_Beachley,1800,82
Ennio_Morricone,1800,82
Alastair_Clarkson,1800,82
Superman_&_Lois,1700,86
Ernie_Sigley,1700,86
Elizabeth_Debicki,1700,86
Local_government_areas_of_New_South_Wales,1700,86
September_11_attacks,1700,86
Scott_Morrison,1700,86
James_Maloney_(rugby_league),1700,86
Reece_Conca,1700,86
COVID-19_pandemic,1600,94
Ted_Lasso,1600,94
Nine_Perfect_Strangers,1600,94
The_Voice_(Australian_season_10),1600,94
Run_Lola_Run,1600,94
Jermaine_O'Neal,1600,94
Ahmad_Massoud,1600,94
2008_South_Carolina_Learjet_60_crash,1600,94
Marie_Curie,1600,94
Hacks_(TV_series),1500,103
Taika_Waititi,1500,103
States_and_territories_of_Australia,1500,103
Olivier_Boumal,1500,103
Spanish_flu,1500,103
Lockheed_C-130_Hercules,1500,103
Panjshir_Valley,1500,103
Colin_Jost,1500,103
Vietnam_War,1500,103
Cleopatra,1500,103
Tara_Moss,1500,103
Tony_Armstrong_(Australian_rules_footballer),1500,103
Fall_of_Saigon,1500,103
Caitríona_Balfe,1400,116
Cristiano_Ronaldo,1400,116
Annastacia_Palaszczuk,1400,116
Clint_Eastwood,1400,116
Bacha_bazi,1400,116
Travis_Barker,1400,116
Mohammad_Najibullah,1400,116
Romelu_Lukaku,1400,116
George_Christensen,1400,116
Shershaah,1400,116
Islamic_State_of_Iraq_and_the_Levant,1400,116
Jacob_Elordi,1400,116
Ross_Lyon,1400,116
Lionel_Messi,1400,116
Jarrod_Harbrow,1300,130
Michael_Jordan,1300,130
Pashtuns,1300,130
List_of_Rick_and_Morty_episodes,1300,130
Peter_Bol_(runner),1300,130
Victor_Dominello,1300,130
15_Storeys_High,1300,130
United_States_invasion_of_Afghanistan,1300,130
Roger_Rogerson,1300,130
Spazzys,1300,130
Chadwick_Boseman,1300,130
Ryan_Reynolds,1300,130
Sallie-Anne_Huckstepp,1300,130
Taliban_treatment_of_women,1200,143
