article_transformed,views_ceil,rank
Taliban,45100,1
Ambev,32700,2
Afghanistan,30800,3
Music,29600,4
United States,26600,5
Andreas Pereira,24300,6
YouTube,16100,7
Cleopatra,15500,8
Alexandre Borges,13300,9
Kenedy (footballer),11500,10
Pedro II of Brazil,8500,11
Brazil,8500,11
Instagram,8400,13
Wikipedia:Featured_pictures,8000,14
TV Senado,7800,15
WhatsApp,7800,15
Copa Libertadores,7700,17
BBC_World_Service,7700,17
"Luísa Margarida de Barros Portugal, Countess of Barral",7600,19
California,7500,20
Gmail,7000,21
Glória Menezes,6800,22
Sony Channel,6700,23
Marrone,6700,23
Clube de Regatas do Flamengo,6600,25
Diego Costa,6400,26
Tarcísio Filho,6200,27
Nelson_Freitas,6200,27
Canal_Brasil,6100,29
"Pablo (footballer, born 1992)",6100,29
Osama bin Laden,6000,31
Paulo Ricardo Nery,5500,32
Google,5400,33
Al-Qaeda,5200,34
Teresa Cristina of the Two Sicilies,5000,35
2021 Copa Libertadores,5000,35
Sociedade Esportiva Palmeiras,4900,37
Renata_Ceribelli,4900,37
Tarcísio Meira,4800,39
"Facebook, Inc.",4800,39
August 18,4500,41
"Dudu (footballer, born 1992)",4500,41
Facebook,4500,41
Mark Zuckerberg,4500,41
Malala Yousafzai,4400,45
Léo Baptistão,4400,45
Nos Tempos do Imperador,4400,45
List of Copa Libertadores top scorers,4300,48
Father Anchieta Foundation,4300,48
Silvio Santos,4200,50
Lista_das_maiores_torcidas_de_futebol_do_Brasil,4200,50
Eduardo Saverin,4200,50
Area 51,4200,50
Microsoft Windows,4100,54
Choque-Rei,4000,55
"Menlo Park, California",4000,55
Bet365,4000,55
Sharia,4000,55
Netflix,3900,59
São Paulo FC,3800,60
Kevin Systrom,3800,60
Mike Krieger,3800,60
Hibatullah Akhundzada,3800,60
Jackson_Antunes,3700,64
Avril Lavigne,3700,64
Roblox,3700,64
Daniel (Brazilian singer),3600,67
Cristiano Ronaldo,3600,67
Guerra_do_Afeganistão_(2001–presente),3600,67
Periodic table,3600,67
Thiago Mendes,3600,67
Alexandre Nero,3600,67
Freeware,3500,73
History of Afghanistan,3400,74
The Masked Singer Brasil,3400,74
September 11 attacks,3400,74
"Isabel, Princess Imperial of Brazil",3400,74
TV_Brasil,3400,74
MercadoLibre,3400,74
Brazilians,3400,74
Islam,3300,81
2020 Summer Olympics,3300,81
Raphael Veiga,3300,81
Islamic Emirate of Afghanistan,3200,84
Sérgio Reis,3200,84
Supreme Federal Court,3200,84
Hotmail,3200,84
Tiago Abravanel,3200,84
Paralympic Games,3100,89
List of presidents of Brazil,3100,89
Steve Jobs,3000,91
Bruno & Marrone,3000,91
UEFA Champions League,3000,91
Club Olimpia,2900,94
IOS,2900,94
Pedro I of Brazil,2900,94
Hernán Crespo,2900,94
Ilha de Ferro,2800,98
Twitter,2800,98
List of Naruto: Shippuden episodes,2700,100
Dani Alves,2700,100
Guerra_do_Afeganistão_(1979-1989),2700,100
Clube Atlético Mineiro,2700,100
Emiliano Rigoni,2600,104
List of countries and dependencies by population,2600,104
Clubes_brasileiros_na_Copa_Libertadores_da_América,2600,104
Amazon (company),2600,104
Gabriel Barbosa,2600,104
Taliban insurgency,2500,109
Ku Klux Klan,2500,109
Jair Bolsonaro,2500,109
English language,2500,109
Lionel Messi,2500,109
Headless Mule,2500,109
Pakistan,2500,109
Astrological signs,2500,109
Roque Santa Cruz,2500,109
2021 Copa Libertadores final stages,2500,109
Suicide methods,2500,109
What If...? (TV series),2500,109
Pinterest,2500,109
Joseph (Genesis),2400,122
São Paulo (state),2400,122
Caiçaras,2400,122
Thiago Lacerda,2400,122
World War II,2400,122
Twitch (service),2400,122
Flag of Brazil,2400,122
São Paulo,2300,129
Rodrigo Santoro,2300,129
Paloma Duarte,2300,129
Muhammad,2300,129
2021 Copa Sudamericana,2200,133
Kabul,2200,133
The_Masked_Singer_Brasil_(1.ª_temporada),2200,133
Mohammed Omar,2200,133
Olympic Games,2200,133
Ten Commandments,2200,133
Canva,2100,139
Malvino Salvador,2100,139
United Kingdom,2100,139
Rio de Janeiro,2100,139
Brazilian Senate,2100,139
Islamic_Emirate_of_Afghanistan,2100,139
Jacob,2100,139
Títulos_da_Sociedade_Esportiva_Palmeiras,2100,139
Abel Ferreira,2100,139
Lima Duarte,2100,139
A Próxima Vítima,2100,139
Isaac_Wright_Jr.,2000,150
2021–22 UEFA Champions League,2000,150
Dubrovnik,2000,150
Débora Duarte,2000,150
Communism,2000,150
Brazilian mythology,2000,150
The Masked Singer (American TV series),2000,150
2020 Copa Libertadores,2000,150
Rafael Vitti,2000,150
List of countries by Military Strength Index,2000,150
Sputnik (news agency),1900,160
2021 Cruzeiro Esporte Clube season,1900,160
2021 FIFA Beach Soccer World Cup,1900,160
"Mary, Queen of Scots",1900,160
OS_X,1900,160
Santos FC,1900,160
Princess Leopoldina of Brazil,1900,160
Scarlett Johansson,1900,160
Folklore,1800,168
Military ranks of Brazil,1800,168
Americans,1800,168
PSV Eindhoven,1800,168
Elymar_Santos,1800,168
Paris Saint-Germain F.C.,1800,168
Chorão,1800,168
List of Olympic Games host cities,1800,168
Shopee,1800,168
Diego_Dabove,1800,168
Rayssa Leal,1700,178
Open world,1700,178
Soviet Union,1700,178
Elizabeth II,1700,178
Curupira,1700,178
Leah,1700,178
Grêmio Foot-Ball Porto Alegrense,1700,178
Império,1700,178
Fafy_Siqueira,1700,178
World War I,1700,178
List of Olympic medalists for Brazil,1700,178
Neymar,1700,178
Australia,1700,178
List of municipalities in the state of São Paulo by population,1700,178
Luiz Inácio Lula da Silva,1700,178
China,1700,178
Champignon (musician),1700,178
Quran,1700,178
Rachel,1600,196
Tomé Ferreira da Silva,1600,196
Giorgian de Arrascaeta,1600,196
Getúlio Vargas,1600,196
Galinha Pintadinha,1600,196
Silvero Pereira,1600,196
French language,1600,196
IPhone,1600,196
Freemasonry,1600,196
Martín Benítez,1600,196
Islamic State of Iraq and the Levant,1600,196
Adolf Hitler,1600,196
Copa Sudamericana,1600,196
Campeonato Brasileiro Série A,1600,196
Ukraine,1600,196
Almir Sater,1600,196
List of Miraculous: Tales of Ladybug & Cat Noir episodes,1600,196
List of country calling codes,1600,196
Brazil national football team,1600,196
Lista_de_municípios_de_Minas_Gerais_por_população,1600,196
Stepan Nercessian,1600,196
Marcos Mion,1600,196
Cold War,1600,196
Spanish language,1500,219
Sport Club Corinthians Paulista,1500,219
2019 Copa Libertadores,1500,219
Selton Mello,1500,219
Lista_de_indicações_brasileiras_ao_Emmy_Internacional,1500,219
Abdul Ghani Baradar,1500,219
AliExpress,1500,219
Android (operating system),1500,219
Brasília,1500,219
CR Vasco da Gama,1500,219
Chernobyl disaster,1500,219
Cicinho,1500,219
Djamila Ribeiro,1500,219
FIFA Beach Soccer World Cup,1500,219
Flag of Afghanistan,1500,219
France,1500,219
German language,1500,219
Haiti,1500,219
"Helena, mother of Constantine I",1500,219
Killing of Osama bin Laden,1500,219
Marina Elali,1500,219
Róger Guedes,1500,219
Mujahideen,1500,219
Military dictatorship in Brazil,1500,219
Maria Leopoldina of Austria,1500,219
List of Copa Libertadores finals,1400,244
Edílson,1400,244
United States invasion of Afghanistan,1400,244
Latin America,1400,244
Miguel Falabella,1400,244
Rio de Janeiro (state),1400,244
Google Translate,1400,244
Murilo Rosa,1400,244
Ronaldo (Brazilian footballer),1400,244
Saci (Brazilian folklore),1400,244
Jackson_Costa,1400,244
Japan,1400,244
Jeniffer_Nascimento,1400,244
Rubens Menin,1400,244
Patrick de Paula,1400,244
Bruno Henrique Pinto,1300,259
Euronews,1300,259
Eriberto Leão,1300,259
Ficheiro:Tabela_Periódica_de_2019.webp,1300,259
Michael Schumacher,1300,259
Magazine Luiza,1300,259
João_Gomes,1300,259
Jéssica_Ellen,1300,259
Islamic fundamentalism,1300,259
Dataprev,1200,268
Priscilla_Alcantara,1200,268
World,1200,268
