article_transformed,views_ceil,rank
Taliban,35000,1
2021_Nova_Scotia_general_election,31200,2
Afghanistan,23900,3
Tim_Houston,19200,4
Sean_Lock,18500,5
2021_Canadian_federal_election,15000,6
Erin_O'Toole,12300,7
Candidates_of_the_2021_Canadian_federal_election,11300,8
Edgar_Sengier,10800,9
2017_Nova_Scotia_general_election,10700,10
Islamic_Emirate_of_Afghanistan,10500,11
Opinion_polling_for_the_2021_Canadian_federal_election,9200,12
Deaths_in_2021,8600,13
2019_Canadian_federal_election,8100,14
Iain_Rankin,8000,15
Scarlett_Johansson,7800,16
Thank_You/en,7700,17
Ashraf_Ghani,7400,18
Dany_Fortin,7300,19
Fall_of_Kabul_(2021),7300,19
The_White_Lotus,6500,21
Val_Kilmer,6500,21
Shang-Chi_and_the_Legend_of_the_Ten_Rings,6300,23
What_If...?_(TV_series),6200,24
2021_Taliban_offensive,6000,25
Free_Guy,5900,26
Panjshir_resistance,5900,26
Jagmeet_Singh,5800,28
Sharia,5600,29
Justin_Trudeau,5600,29
Joker_(2019_film),5500,31
List_of_premiers_of_Nova_Scotia,5200,32
Islamic_Republic_of_Afghanistan,5100,33
The_Suicide_Squad_(film),5100,33
Hibatullah_Akhundzada,5100,33
Amrullah_Saleh,4900,36
Skathi_(moon),4900,36
Beckett_(film),4900,36
Greg_Abbott,4800,39
War_in_Afghanistan_(2001–present),4700,40
Flag_of_Afghanistan,4500,41
Portal:Current_events,4400,42
Mohammed_Omar,4400,42
Ahmad_Shah_Massoud,4200,44
Progressive_Conservative_Association_of_Nova_Scotia,4000,45
Al-Qaeda,4000,45
Abdul_Ghani_Baradar,3800,47
People's_Party_of_Canada,3800,47
Premier_of_Nova_Scotia,3700,49
Iain_Rankin_(politician),3700,49
Osama_bin_Laden,3700,49
Conservative_Party_of_Canada,3700,49
Template:Current_provincial_governments_in_Canada,3600,53
Hamid_Karzai,3600,53
Soviet–Afghan_War,3500,55
2013_Nova_Scotia_general_election,3500,55
Joaquin_Phoenix,3400,57
Canada,3400,57
Vikram_Batra,3300,59
Wikipedia:Featured_pictures,3300,59
Snake_Eyes_(2021_film),3300,59
Harbanse_Singh_Doman,3200,62
Rick_and_Morty_(season_5),3200,62
Dennis_Rader,3100,64
Pascale Nadeau,3000,65
Gary_Ridgway,3000,65
List_of_federal_political_parties_in_Canada,3000,65
Elizabeth_Smith-McCrossin,3000,65
Jeffrey_Dahmer,2800,69
Ryan_Reynolds,2800,69
Colin_Jost,2800,69
Stephen_McNeil,2700,72
Northern_Alliance,2700,72
Rock Demers,2700,72
2009_Nova_Scotia_general_election,2700,72
Nova_Scotia,2700,72
Clarissa_Ward,2600,77
Incel,2600,77
Progressive_Conservative_Party_of_Canada,2600,77
2008_South_Carolina_Learjet_60_crash,2600,77
Pigeonhole_principle,2600,77
Ahmad_Massoud,2600,77
33_Thomas_Street,2600,77
Nine_Perfect_Strangers_(miniseries),2500,84
New_Democratic_Party,2500,84
Kabul,2400,86
Nova_Scotia_House_of_Assembly,2300,87
Panjshir_Valley,2300,87
Amanda_Peet,2300,87
Shershaah,2200,90
Bacha_bazi,2200,90
Ted_Lasso,2200,90
Mohammad_Najibullah,2200,90
Simu_Liu,2200,90
YouTube,2200,90
Elisha_Cuthbert,2200,90
September_11_attacks,2100,97
Ted_Bundy,2100,97
Malala_Yousafzai,2100,97
List_of_prime_ministers_of_Canada,2100,97
2015_Canadian_federal_election,2100,97
SummerSlam_(2021),2000,102
Gurian_Republic,2000,102
Travis_Barker,2000,102
List_of_Canadian_federal_electoral_districts,2000,102
Christopher_Duntsch,1900,106
Hope_Solo,1900,106
Fall_of_Saigon,1900,106
Superman_&_Lois,1900,106
Robert_Redford,1800,110
The_Girl_Next_Door_(2004_film),1800,110
2006_Nova_Scotia_general_election,1800,110
Dennis_Nilsen,1800,110
Billy_Beane,1800,110
Aaliyah,1800,110
John_Wayne_Gacy,1800,110
History_of_Afghanistan,1800,110
House_of_Commons_of_Canada,1800,110
Annamie_Paul,1800,110
Cleopatra,1700,120
Star_Wars:_Visions,1700,120
