article_transformed,views_ceil,rank
Cleopatra,11700,1
Taliban,11400,2
Afghanistan,11200,3
Periodic table,6700,4
Bacha bazi,6600,5
Colombia,3700,6
Translation,3500,7
YouTube,3100,8
Departments of Colombia,2800,9
Sharia,2500,10
Osama bin Laden,2400,11
Islam,2300,12
Al-Qaeda,2300,12
Arturo Reyes (footballer),2300,12
Burqa,2200,15
MILF,2100,16
Tasuku_Honjo,2100,16
WhatsApp,2000,18
Website,2000,18
United States,1900,20
Thousand Days' War,1800,21
National Front (Colombia),1800,21
Bogotá,1800,21
Google,1800,21
September 11 attacks,1700,25
Battle of Boyacá,1700,25
Industrial Revolution,1700,25
World War II,1700,25
Simón Bolívar,1500,29
Olympic Games,1500,29
Andean natural region,1500,29
Postal codes in Colombia,1500,29
Malala Yousafzai,1400,33
