article_transformed,views_ceil,rank
Afghanistan,18600,1
Taliban,13600,2
Sharia,9100,3
J. R. R. Tolkien,3900,4
Kristýna_Hrušínská,2300,5
Louis XIV,2200,6
Joe Biden,2100,7
Miluše_Šplechtová,2000,8
War in Afghanistan (2001–2021),2000,8
Jan Hrušínský,1900,10
Osama bin Laden,1700,11
Czech Republic,1700,11
Panjshir Province,1600,13
Soviet–Afghan War,1600,13
Henry Fielding,1500,15
Petr_Pelikán,1500,15
Ahmad Shah Massoud,1400,17
Šárka Pančochová,1400,17
David Pastrňák,1300,19
Kabul,1300,19
Al-Qaeda,1300,19
