article_transformed,views_ceil,rank
Afghanistan,48000,1
Federico García Lorca,38700,2
Taliban,24800,3
Patrick Swayze,18900,4
Cleopatra,11400,5
Sharia,11200,6
Bacha bazi,8300,7
Yurena,7700,8
Ramón Ruiz Alonso,6600,9
"Lorca,_muerte_de_un_poeta",6200,10
Spain,6100,11
"Helena, mother of Constantine I",5100,12
Sean_Lock,5000,13
Soviet–Afghan War,4800,14
Luis Rosales,4700,15
Ana_González_(política),4500,16
Jennifer Grey,4400,17
Jason Statham,4300,18
Osama bin Laden,4300,18
Gonzalo Queipo de Llano,4200,20
Clint Eastwood,4200,20
YouTube,4100,22
Emma Penella,4000,23
Julio Iglesias,3900,24
Airbus A400M Atlas,3900,24
History of Afghanistan,3800,26
Kabul,3700,27
Paula Badosa,3700,27
Diana Gómez,3700,27
United States,3600,30
Robert Redford,3500,31
Tasuku_Honjo,3500,31
Daniel_Huarte,3400,33
Jorge Sanz,3200,34
Ignacio Sánchez Mejías,3200,34
Carla_Hidalgo,3200,34
Amazon (company),3200,34
Tightrope (film),3200,34
Verano azul,3200,34
Al-Qaeda,3100,40
Transnistria,3100,40
Miguel_Campins,3000,42
Dirty Dancing,3000,42
Zodiac,2900,44
Alejandra Silva,2900,44
Alison Eastwood,2900,44
Pakistan,2800,47
September 11 attacks,2800,47
Germán Pezzella,2800,47
Emirato_Islámico_de_Afganistán,2800,47
Democratic Republic of Afghanistan,2800,47
Gerd Müller,2800,47
Daddy Yankee,2700,53
Maxi Iglesias,2700,53
María Casal,2700,53
Scarlett Johansson,2700,53
Ahmad Shah Massoud,2700,53
Nickolas Grace,2700,53
Afghan mujahideen,2700,53
August 18,2600,60
Kylian Mbappé,2600,60
Valeria (2020 TV series),2600,60
Pashtuns,2600,60
MILF,2400,64
Gabriel_Ferrán_Carrión,2400,64
José_Luis_Fernández_(actor_español),2400,64
Sergio_Pazos,2400,64
Aleix Vidal,2300,68
Josep Borrell,2300,68
Ashraf Ghani,2200,70
2021 Taliban offensive,2200,70
Vicenta_Lorca_Romero,2200,70
José_Valdés_Guzmán,2200,70
Fernando de los Ríos,2100,74
FC Sheriff Tiraspol,2100,74
Valverde de la Vera,2100,74
Lionel Messi,2100,74
Islamic State of Iraq and the Levant,2000,78
Lobo Carrasco,2000,78
Silma_López,2000,78
Elizabeth II,2000,78
Cristiano Ronaldo,2000,78
Fall of Kabul (2021),2000,78
Gijón,2000,78
Valentino Rossi,2000,78
Website,2000,78
Generation of '27,1900,87
Translation,1900,87
Richard Gere,1900,87
Juan_Branco,1900,87
El Cid,1900,87
Cristina_Seguí,1900,87
Tajikistan,1900,87
Ernesto Valverde,1900,87
Madrid,1800,95
Pilar_Torres,1800,95
Malala Yousafzai,1800,95
Madonna,1800,95
Abdul Ghani Baradar,1800,95
República_Islámica_de_Afganistán_(2004-2021),1800,95
Burqa,1800,95
Cali Cartel,1800,95
Islamic_Emirate_of_Afghanistan,1800,95
Albacete,1800,95
The Incredible Hulk (film),1800,95
Flag of Afghanistan,1800,95
2019,1800,95
Salvador Dalí,1700,108
Saur Revolution,1700,108
Beckett_(film),1700,108
Agencia_Pública_Empresarial_de_la_Radio_Televisión_de_Andalucía,1700,108
Deutsche Welle,1700,108
Elísabet_Benavent,1700,108
Haiti,1700,108
Kiko_Hernández,1700,108
"Charles V, Holy Roman Emperor",1600,116
Lists of One Piece episodes,1600,116
2021–22 UEFA Champions League,1600,116
Winston Churchill,1600,116
UEFA Champions League,1600,116
English language,1600,116
Terele Pávez,1600,116
Hamid Karzai,1600,116
Spanish Civil War,1600,116
Rocío_Madrid,1600,116
Buddhas of Bamiyan,1600,116
Miguel Hernández,1600,116
Northern Alliance,1600,116
Boeing C-17 Globemaster III,1600,116
Mohammed Omar,1500,130
Dušan Vlahović,1500,130
Enrique Sarasola Jr.,1500,130
Geneviève Bujold,1500,130
Google,1500,130
Hibatullah Akhundzada,1500,130
Elizabeth I,1500,130
Elisa Montés,1500,130
Tirón River,1500,130
Islamic Emirate of Afghanistan,1500,130
Isabel_García_Lorca,1500,130
War in Afghanistan (2001–2021),1500,130
Downton Abbey,1500,130
Naegleria fowleri,1500,130
Asier Etxeandia,1500,130
Antonio Canales (flamenco),1500,130
World War I,1500,130
Yerma,1500,130
A Simple Favor (film),1500,130
NATO,1500,130
Francisco_García_Lorca,1500,130
Wikipedia:Featured_pictures,1400,151
Dogtanian and the Three Muskehounds,1400,151
Emilio_Aladrén,1400,151
United States invasion of Afghanistan,1400,151
UM Airlines Flight 4230,1400,151
Old (film),1400,151
Teresa_Riott,1400,151
Bacha_bazi,1400,151
Memphis Depay,1400,151
RT (TV network),1400,151
Streaming media,1400,151
Philippe Coutinho,1400,151
Ryan Reynolds,1400,151
Qatar,1400,151
Jihadism,1400,151
Ana_Anguita,1300,166
Jesús_Calleja,1300,166
Britney Spears,1300,166
Paula_Malia,1300,166
Public company,1300,166
Canary Islands,1300,166
Cataplexy,1300,166
Ibai Llanos,1300,166
Murder of Dee Dee Blanchard,1300,166
Adam Sandler,1300,166
Lucas Pérez,1200,176
Thomas Müller,1200,176
