article_transformed,views_ceil,rank
Afghanistan,49700,1
Taliban,37400,2
Michaël_Gregorio,29000,3
Hugues Aufray,18900,4
The Blues Brothers (film),17800,5
Thierry Liagre,17400,6
Ahmad Shah Massoud,16200,7
Keep an Eye Out,16100,8
Ils_étaient_dix_(mini-série),14300,9
Mikhail Gorbachev,14100,10
John Belushi,12000,11
Sharia,11200,12
And Then There Were None,10600,13
Fichier:France_relief_location_map.jpg,10000,14
Mr. Oizo,10000,14
France,9800,16
Didier Notheaux,9600,17
Lola Dewaere,8800,18
Ashura,8800,18
The Blues Brothers,8500,20
Hibatullah Akhundzada,8300,21
Les_Douze_Coups_de_midi,8100,22
Alexandra_Alévêque,7800,23
Jugée_coupable,7700,24
Sara_Mortensen,7500,25
United States,7400,26
Lionel Messi,7000,27
Décès_en_août_2021,6900,28
Hautes_Chaumes_du_Forez,6700,29
Gabriel Attal,6700,29
Islamic Emirate of Afghanistan,6700,29
Canadair CL-415,6300,32
Scarlett Johansson,6300,32
François Civil,6200,34
Osama bin Laden,6200,34
Manu Katché,6200,34
Manon_Azem,6200,34
Disparu_à_jamais_(série_télévisée),6200,34
Departments of France,6200,34
BAC_Nord,6100,40
Ashraf Ghani,6100,40
Downton Abbey,5700,42
Dan Aykroyd,5700,42
Gerd Müller,5600,44
Sean Lock,5500,45
2021–22 UEFA Champions League,5500,45
Mohammed Omar,5300,47
Sophie Marceau,5300,47
Jeff Panacloc,5100,49
Astrid_et_Raphaëlle,5000,50
Cristiano Ronaldo,5000,50
Liste_des_départements_français,5000,50
Haiti,4900,53
Guerre_d'Afghanistan_(2001-2014),4900,53
Sean_Lock,4900,53
Gilles Lellouche,4800,56
Uzbin Valley ambush,4800,56
Sandrine_Rousseau,4800,56
Elizabeth II,4700,59
Soviet–Afghan War,4600,60
XIII: The Conspiracy,4500,61
Flag_of_Afghanistan,4400,62
Aïssa Maïga,4400,62
Alexander Sørloth,4400,62
Sumo,4400,62
Emmanuel Macron,4400,62
Lists of One Piece episodes,4300,67
Montenegro,4200,68
Monica Bellucci,4200,68
Elon Musk,4100,70
NoA_(chaîne_de_télévision),4000,71
What If...? (TV series),4000,71
YouTube,4000,71
Islamic Republic of Afghanistan,4000,71
2 Girls 1 Cup,4000,71
Cédric Jimenez,3900,76
Aaliyah,3900,76
Thank_You/fr,3900,76
Mortel_Été,3900,76
Cyril Féraud,3900,76
Grégoire_Ludig,3900,76
List of Naruto: Shippuden episodes,3800,82
Google,3800,82
Kylian Mbappé,3800,82
Hamid Karzai,3700,85
August 18,3700,85
