article_transformed,views_ceil,rank
Afghanistan,12600,1
Taliban,9700,2
Boglárka Kapás,5300,3
Ágnes Hankiss,4600,4
Sharia,4500,5
Jordán_Adél,4300,6
Székely_Kriszta,4000,7
Meritocracy,2500,8
Augusztus_20-i_nemzeti_ünnep,2200,9
BSC Young Boys,2000,10
Keresztanyu,1900,11
Piroska Jancsó-Ladányi,1900,11
Horváth_Teri,1900,11
Elemér Hankiss,1800,14
Erdős_Péter_(menedzser),1700,15
Vitézy_Dávid,1600,16
Keresztes_Tamás,1600,16
August 18,1500,18
Hungary,1400,19
Eucharist,1400,19
Vitézy_László,1400,19
War in Afghanistan (2001–2021),1400,19
Kukutyin,1300,23
Sean_Lock,1200,24
