article_transformed,views_ceil,rank
Taliban,44200,1
Afghanistan,24400,2
Proclamation of Indonesian Independence,16100,3
Music,13900,4
Indonesia,11200,5
List of the busiest airports in Indonesia,10700,6
List of presidents of Indonesia,10600,7
Pancasila (politics),10400,8
Sukarno,9700,9
Volleyball,7200,10
List of countries and dependencies by population,7000,11
Basketball,6600,12
Daftar_kota_di_Indonesia_menurut_provinsi,6300,13
Islamic_Emirate_of_Afghanistan,6000,14
Ashura,5800,15
Inna Lillahi wa inna ilayhi raji'un,5600,16
Association football,5000,17
Very Idham Henyansyah,4800,18
Proxy server,4800,18
Mohammad Hatta,4800,18
Lembaga_Pemerintah_Nonkementerian,4500,21
Antares_(seri_web),4500,21
Independence Day (Indonesia),4400,23
List of elements by name,3800,24
Madiun Affair,3800,24
XNXX,3700,26
Glossary of mathematical symbols,3600,27
United States,3500,28
Rengasdengklok Incident,3500,28
Ashraf Ghani,3400,30
Investigating Committee for Preparatory Work for Independence,3300,31
Pashtuns,3300,31
Fall_of_Kabul_(2021),3200,33
War in Afghanistan (2001–2021),3200,33
Football pitch,3200,33
Sudirman,3200,33
Malaysia,3100,37
Al-Kawthar,3100,37
Panitia_Sembilan,3100,37
"Coordinating Ministry for Political, Legal, and Security Affairs (Indonesia)",3100,37
List of regencies and cities of Indonesia,3000,41
President of Indonesia,3000,41
Fatmawati,3000,41
Daftar_kementerian_di_Indonesia,3000,41
Provinces of Indonesia,2900,45
National emblem of Indonesia,2900,45
John_Cena,2800,47
Mohammed Omar,2800,47
Americas,2800,47
Sociology,2800,47
Islamic_Republic_of_Afghanistan,2800,47
MasterChef_Indonesia_(musim_8),2800,47
Asia,2800,47
Megawati Sukarnoputri,2800,47
Southeast Asia,2800,47
Japan,2700,56
John Cena,2700,56
Suharto,2700,56
Al-Falaq,2700,56
Badminton,2700,56
Lantai_13,2600,61
30 September Movement,2600,61
Singapore,2600,61
YouTube,2600,61
Surah,2600,61
Australia,2600,61
Battle of Surabaya,2600,61
Terbang:_Menembus_Langit,2500,68
Abbasid Caliphate,2500,68
England,2500,68
President Sukarno's 1959 Decree,2500,68
Jakarta Charter,2500,68
Osama bin Laden,2500,68
Linggadjati Agreement,2500,68
New Order (Indonesia),2400,75
Panjshir_resistance,2400,75
Hukum_nun_mati_dan_tanwin,2400,75
Ashraf_Ghani,2400,75
Abdul Ghani Baradar,2400,75
Europe,2400,75
Rumusan-rumusan_Pancasila,2300,81
What_If...?_(TV_series),2300,81
Quran,2300,81
Amrullah_Saleh,2200,84
Thomas Cup,2200,84
Flag of Indonesia,2200,84
Dutch–Indonesian Round Table Conference,2200,84
Laos,2200,84
10_Muharram,2100,89
Coordinating Ministry for Maritime and Investments Affairs (Indonesia),2100,89
Presidential system,2100,89
History,2100,89
B. J. Habibie,2100,89
Puan Maharani,2100,89
Renville Agreement,2100,89
Joko Widodo,2000,96
Myanmar,2000,96
Yandex,2000,96
Natural resource,2000,96
Terpaksa_Menikahi_Tuan_Muda,2000,96
Non-Stop (film),2000,96
Brunei,2000,96
Islamic Emirate of Afghanistan,2000,96
List of sovereign states and dependent territories in North America,2000,96
2021_Taliban_offensive,2000,96
Snake_Eyes_(2021_film),2000,96
Preparatory Committee for Indonesian Independence,2000,96
Hamid Karzai,2000,96
Philippines,2000,96
Atomic bombings of Hiroshima and Nagasaki,1900,110
Month,1900,110
Al-Nas,1900,110
An-Nasr,1900,110
At-Tin,1900,110
Cut Nyak Dhien,1900,110
Coordinating Ministry for Human Development and Cultural Affairs,1900,110
Ten Commandments,1900,110
Daughter,1900,110
Coordinating Ministry for Economic Affairs (Indonesia),1900,110
Muhammad_Arifin_Ilham,1900,110
Raymond Westerling,1800,121
National Hero of Indonesia,1800,121
Selesai_(film),1800,121
Zodiac,1800,121
Liberal democracy period in Indonesia,1800,121
Culture,1800,121
Hibatullah_Akhundzada,1800,121
History of Indonesia,1800,121
List of vice presidents of Indonesia,1800,121
Daftar_hari_penting_di_Indonesia,1700,130
BBC_World_Service,1700,130
Thailand,1700,130
Lesti (singer),1700,130
Continent,1600,134
Dutch East India Company,1600,134
Soviet–Afghan War,1600,134
List of national independence days,1600,134
Luhut Binsar Pandjaitan,1600,134
Bandung Sea of Fire,1600,134
Mangkunegara IX,1600,134
Daftar_kabupaten_dan_kota_di_Jawa_Timur,1600,134
Salam_Lintas_Agama,1600,134
SI base unit,1600,134
Democracy,1600,134
Diponegoro,1600,134
Constitution of Indonesia,1600,134
Kartini,1600,134
Parliamentary system,1600,134
List_of_Knowing_Bros_episodes,1600,134
List of countries and dependencies by area,1600,134
Zikri_Daulay,1600,134
Africa,1600,134
Japanese migration to Indonesia,1600,134
World War II,1600,134
Youth Pledge,1500,155
Borobudur,1500,155
Battle of Medan,1500,155
Al-Humazah,1500,155
Andika Perkasa,1500,155
Western Asia,1500,155
Map,1500,155
Ahmad_Shah_Massoud,1500,155
Cat,1500,155
Trisakti shootings,1500,155
List of presidents of the United States,1500,155
Muhammad,1500,155
Pemberontakan_DI/TII_di_Aceh,1500,155
International System of Units,1500,155
Operation Product,1500,155
Egypt,1500,155
Genesis creation narrative,1500,155
Communist Party of Indonesia,1400,172
List of regencies and cities in West Java,1400,172
APRA coup d'état,1400,172
ASEAN,1400,172
Industrial Revolution,1400,172
Vietnam,1400,172
English language,1400,172
Daftar_kabupaten_dan_kota_di_Jawa_Tengah,1400,172
Baduy people,1400,172
Social change,1400,172
Tanjung Priok massacre,1400,172
South Asia,1400,172
Al-Qaeda,1300,184
Visual arts,1300,184
Kejatuhan_Kabul_(2021),1300,184
Menara_Saidah,1300,184
Rizky_Billar,1200,188
Abdul_Ghani_Baradar,1200,188
Cleopatra,1200,188
