article_transformed,views_ceil,rank
Taliban,216300,1
Afghanistan,130700,2
Vikram_Batra,128600,3
Cleopatra,67200,4
BBC_World_Service,63200,5
Shershaah,62500,6
XXXX,40500,7
India,39200,8
Ashraf_Ghani,31400,9
Amrullah_Saleh,30700,10
Bhuj:_The_Pride_of_India,29200,11
Islamic_Emirate_of_Afghanistan,28900,12
Sharia,28400,13
Kargil_War,26500,14
Mohammed_Omar,25000,15
Muharram,24900,16
Vicky_Kaushal,23800,17
Onam,23600,18
Bell_Bottom_(2021_film),23500,19
Ahmad_Shah_Massoud,23000,20
Abdul_Ghani_Baradar,22000,21
YouTube,21900,22
Kiara_Advani,21500,23
Mohammad_Najibullah,21400,24
Sidharth_Malhotra,21300,25
Osama_bin_Laden,19600,26
Northern_Alliance,19400,27
Hamid_Karzai,18900,28
Hibatullah_Akhundzada,18500,29
Sunanda_Pushkar,18400,30
Google_News,18300,31
Katrina_Kaif,17900,32
BF,17600,33
Kamal_Haasan,17400,34
Param_Vir_Chakra,17300,35
Wikipedia:Featured_pictures,16900,36
Neeraj_Chopra,16200,37
Army_ranks_and_insignia_of_India,16100,38
Subhas_Chandra_Bose,15700,39
Anandha_Kannan,14700,40
XXX_(2002_film),14000,41
What_If...?_(TV_series),14000,41
Music,14000,41
XXXX_(album),13800,44
Hindi,13700,45
LOC:_Kargil,13600,46
Shashi_Tharoor,13600,46
Panjshir_Province,13100,48
भारत_की_राजभाषा_के_रूप_में_हिन्दी,12800,49
Amazon_(company),12800,49
XXX_(film_series),12800,49
Al-Qaeda,12700,52
List_of_Bollywood_films_of_2021,12600,53
Panjshir_Valley,12400,54
Panjshir_resistance,12200,55
Fall_of_Kabul_(2021),12100,56
Gmail,11900,57
2021_Taliban_offensive,11500,58
Bigg_Boss_OTT,11500,58
Vishnuvardhan_(director),11400,60
Islamic_Republic_of_Afghanistan,11400,60
Google,11300,62
History_of_Afghanistan,10800,63
Indian_Armed_Forces,10500,64
Malala_Yousafzai,10300,65
Suhasini_Maniratnam,10200,66
Virat_Kohli,10200,66
States_and_union_territories_of_India,10200,66
Yogesh_Kumar_Joshi,10000,69
WhatsApp,9900,70
A._P._J._Abdul_Kalam,9900,70
Indian_Idol,9800,72
