article_transformed,views_ceil,rank
Afghanistan,74900,1
Sharia,59000,2
Taliban,55100,3
Manuel Locatelli,32600,4
Marcus Thuram,18800,5
"Pedro (footballer, born 1987)",16600,6
The Ignorant Fairies,16200,7
Tammy Abraham,15300,8
Juan Jesus,14500,9
Robert Redford,12600,10
Valentino Rossi,12300,11
War in Afghanistan (2001–2021),12200,12
Piera Degli Esposti,12200,12
Abdul Ghani Baradar,11400,14
Osama bin Laden,10600,15
Kaio Jorge,9900,16
Italy,9700,17
History of Afghanistan,9400,18
Papu Gómez,9300,19
Episodi_di_Cassandre,8600,20
Saturn in Opposition,8500,21
Mohammed Omar,8100,22
Gino Strada,8000,23
FC Sheriff Tiraspol,8000,23
Juventus F.C.,7700,25
What If...? (TV series),7500,26
Piero Angela,7500,26
Women in Afghanistan,7500,26
Kabul,7400,29
Ashraf Ghani,7300,30
Soviet–Afghan War,7200,31
Batman Forever,7200,31
Francesca_Guadagno,7100,33
Emirato_islamico_dell'Afghanistan,7100,33
Sex with a Smile,7000,35
Hibatullah Akhundzada,7000,35
John Isner,6800,37
Gianfranco D'Angelo,6600,38
F9 (film),6600,38
Al-Qaeda,6100,40
Cristiano Ronaldo,6100,40
Alessandro Florenzi,6100,40
Australia (2008 film),6100,40
Mujahideen,6000,44
Bullet Head,5800,45
Burqa,5400,46
United States,5400,46
UEFA Europa Conference League,5300,48
Pakistan,5300,48
Lake Mezzano,5300,48
Free party,5200,51
RAI,5200,51
Kirstie Alley,5200,51
Hijab,5100,54
Chicago Fire (TV series),5000,55
Rodrigo Palacio,5000,55
Ahmad Shah Massoud,4900,57
Lionel Messi,4700,58
Episodi_di_What_if...?_(prima_stagione),4700,58
Marcell Jacobs,4700,58
X Factor (Italian TV series),4600,61
Alien: Covenant,4600,61
Alarm für Cobra 11 – Die Autobahnpolizei,4500,63
Måneskin,4500,63
The Suicide Squad (film),4400,65
September 11 attacks,4400,65
Neon Genesis Evangelion,4300,67
Robert Lewandowski,4300,67
Romelu Lukaku,4300,67
2021 Taliban offensive,4300,67
YouTube,4100,71
2021–22 UEFA Champions League,4100,71
Gerd Müller,4000,73
Ma (film),4000,73
Matija Nastasić,4000,73
The Walking Dead (TV series),4000,73
Domenico Berardi,4000,73
Madonna,4000,73
Ferzan Özpetek,3900,79
Tommaso Pobega,3900,79
Hamid Karzai,3900,79
Veronica_Yoko_Plebani,3900,79
Haiti,3900,79
Grey's Anatomy,3900,79
Germán Pezzella,3800,85
Doha Agreement (2020),3800,85
Robert De Niro,3800,85
Radja Nainggolan,3800,85
Haram,3800,85
Crooked House (film),3800,85
For Richer or Poorer,3800,85
Emirate,3800,85
Opium,3800,85
Paul Walker,3800,85
A.S. Roma,3700,95
Johnny Dorelli,3700,95
Domenico Modugno,3700,95
Once Upon a Time in Hollywood,3700,95
Love Is All You Need,3700,95
"Helena, mother of Constantine I",3700,95
The Mentalist,3600,101
Malala Yousafzai,3600,101
Camila Giorgi,3600,101
Islamic State of Iraq and the Levant,3600,101
A Thousand Splendid Suns,3500,105
Fast & Furious,3500,105
2021–22 UEFA Europa Conference League,3500,105
The Good Doctor (TV series),3400,108
Inter Milan,3400,108
Scarlett Johansson,3400,108
Pashtuns,3400,108
Fard,3400,108
Erling Haaland,3400,108
Group of Seven,3400,108
Cincinnati,3400,108
Attack on Titan,3400,108
Valerio Massimo Manfredi,3300,117
Valentina Cenni,3300,117
Vietnam War,3300,117
Fist of the North Star,3300,117
Gianni Rivera,3300,117
Esteban Cambiasso,3300,117
Don Matteo,3200,123
Mohammad Najibullah,3200,123
A.C. Milan,3200,123
Adolf Hitler,3100,126
Val Kilmer,3100,126
Sean_Lock,3100,126
Sylvester Stallone,3100,126
Edin Džeko,3100,126
Us in the U.S.,3100,126
The Longest Yard (1974 film),3100,126
2021–22 Juventus F.C. season,3100,126
McDonald's,3100,126
Brave and Beautiful,3100,126
Dušan Vlahović,3100,126
Wikipedia:Info_utente/Oroscopo,3000,137
Paris Saint-Germain F.C.,3000,137
Simeon Nwankwo,3000,137
Edward Norton,2900,140
Roman Polanski,2900,140
Italy national football team,2900,140
Beckett (film),2900,140
Salmo (rapper),2900,140
UEFA Champions League,2900,140
Flag of Afghanistan,2900,140
Love_is_in_the_Air_(serie_televisiva),2900,140
The World's Billionaires,2900,140
Brandon Lee,2900,140
Alien (film),2900,140
Evangelion: 3.0+1.0 Thrice Upon a Time,2800,151
I_bastardi_di_Pizzofalcone_(serie_televisiva),2800,151
Peaky Blinders (TV series),2800,151
Denzel Dumfries,2800,151
Lilian Thuram,2800,151
Matteo Berrettini,2800,151
Moise Kean,2800,151
Luc Montagnier,2800,151
Dunning–Kruger effect,2800,151
Olivier Giroud,2700,160
Mady Camara,2700,160
Rome,2700,160
Buddhas of Bamiyan,2700,160
Iran,2700,160
Kostas Manolas,2700,160
Stefano Bollani,2700,160
Jus soli,2700,160
Fabio Quagliarella,2700,160
UEFA Euro 2020,2700,160
Gloria Guida,2700,160
John Belushi,2700,160
Margherita Buy,2700,160
José Mourinho,2700,160
Islam,2600,174
Franz Joseph I of Austria,2600,174
List of Attack on Titan episodes,2600,174
Mario Balotelli,2600,174
Elon Musk,2600,174
S.S.C. Napoli,2600,174
Saddam Hussein,2600,174
Velo_islamico,2600,174
Nicole Kidman,2600,174
Amazon (company),2600,174
Money Heist,2600,174
Alitalia,2600,174
Downton Abbey,2600,174
Tajikistan,2600,174
Hazaras,2500,188
Deaths in 2021,2500,188
2021–22 Serie A,2500,188
X Factor (Italian season 10),2500,188
Heroin,2500,188
August 18,2500,188
Cruel Summer (TV series),2500,188
Valentano,2500,188
Rebuild of Evangelion,2500,188
Episodi_di_Don_Matteo_(decima_stagione),2500,188
Vin Diesel,2500,188
John Cena,2500,188
Vergarola explosion,2500,188
Monster of Florence,2500,188
Italian Wikipedia,2500,188
Wedding anniversary,2400,203
Cecilia_Strada,2400,203
The Kite Runner,2400,203
Leonardo DiCaprio,2400,203
Elizabeth II,2400,203
Nikola Vlašić,2400,203
Oriana Fallaci,2400,203
Outer Banks (TV series),2400,203
Compass rose,2400,203
Panjshir Province,2400,203
The Mentalist (season 7),2400,203
Zlatan Ibrahimović,2400,203
Burt Reynolds,2400,203
Chelsea F.C.,2300,216
Marco van Basten,2300,216
2020–21 Serie A,2300,216
Lucifer (TV series),2300,216
Jannik Sinner,2300,216
"Nicolás González (footballer, born 1998)",2300,216
"Adama Traoré (footballer, born 5 June 1995)",2300,216
Una_pallottola_nel_cuore,2300,216
Bruno Barbieri,2300,216
I Cesaroni,2300,216
Federico García Lorca,2300,216
Brendan Fraser,2300,216
Islamic_Emirate_of_Afghanistan,2200,228
Mario Draghi,2200,228
List of presidents of the United States,2200,228
Lucas Torreira,2200,228
Marvel Cinematic Universe,2200,228
Milan,2200,228
Marty Feldman,2200,228
Tiémoué Bakayoko,2200,228
Avril Lavigne,2200,228
Democratic Republic of Afghanistan,2200,228
Shia Islam,2200,228
Sharon Tate,2200,228
Elton John,2200,228
The Mafia Kills Only in Summer (film),2200,228
Chicago Fire (season 8),2200,228
Chernobyl disaster,2200,228
Sandra Dee,2200,228
Trabzonspor,2200,228
Diletta Leotta,2200,228
Uzbekistan,2200,228
X Factor (Italian season 9),2200,228
Anna Tatangelo,2200,228
Pragser Wildsee,2200,228
Amish,2200,228
Quentin Tarantino,2200,228
Riverdale (2017 TV series),2100,253
Manu Chao,2100,253
Simpson's paradox,2100,253
NATO,2100,253
"Sugar, Honey and Pepper",2100,253
Criminal Minds,2100,253
Elisabetta Canalis,2100,253
