article_transformed,views_ceil,rank
Munhwa Broadcasting Corporation,39100,1
Korean Broadcasting System,21000,2
Taliban,17400,3
Cleopatra,11000,4
The Black Label,10300,5
Yonhap News Agency,9300,6
YouTube,8900,7
Afghanistan,8500,8
황교익,7800,9
Hong Beom-do,6900,10
Huh Kyung-young,5400,11
Educational Broadcasting System,5300,12
Google Chrome,4500,13
Andre Jin Coquillard,4100,14
Naver,4000,15
Instagram,3900,16
South Korea,3600,17
윤일봉,3300,18
Won Hee-ryong,3000,19
Pornhub,2600,20
자유시_참변,2600,20
윤혜진,2600,20
Netflix,2400,23
Google,2400,23
김민경_(1960년),2300,25
Pdogg,2100,26
An Chang-rim,2000,27
Twitter,2000,27
양경수,2000,27
박로사,1900,30
United States,1900,30
대학기본역량진단,1800,32
2007 South Korean hostage crisis in Afghanistan,1800,32
Voice of America,1800,32
윤준호_(배우),1800,32
Tapering,1800,32
Yoo Young-chul,1700,37
Pfizer–BioNTech COVID-19 vaccine,1700,37
UEFA Europa Conference League,1700,37
Osama bin Laden,1600,40
국민방송,1500,41
Metaverse,1400,42
Climate change,1400,42
September 11 attacks,1400,42
Jong Tae-se,1300,45
Wakhan Corridor,1300,45
박현도,1200,47
Daughter,1100,48
