article_transformed,views_ceil,rank
Taliban,24600,1
Ismail_Sabri_Yaakob,23900,2
Afghanistan,12200,3
Ismail Sabri Yaakob,9800,4
Flag of Malaysia,7700,5
Anwar_Ibrahim,6700,6
七公主_(無綫電視劇),6200,7
You Are My Glory,6200,7
Prime_Minister_of_Malaysia,5700,9
Malaysia,5500,10
"Members_of_the_Dewan_Rakyat,_14th_Malaysian_Parliament",5400,11
Prime Minister of Malaysia,5300,12
Gabungan_Parti_Sarawak,5100,13
Parliament_of_Malaysia,5000,14
Malayan Declaration of Independence,4800,15
Azura_(filem_1984),4700,16
Coat of arms of Malaysia,4600,17
Negaraku,4600,17
Flag_of_Malaysia,4400,19
Muhyiddin_Yassin,4300,20
Cleopatra,4000,21
周生如故,3900,22
Call Me By Fire,3700,23
Shafie_Apdal,3700,23
John_Cena,3400,25
Netball,3400,25
Volleyball,3400,25
Tengku_Razaleigh_Hamzah,3200,28
Rukun_Negara,3200,28
Snake_Eyes_(2021_film),3200,28
Malaysian_United_Indigenous_Party,3100,31
Islamic_Emirate_of_Afghanistan,3100,31
Al-Nuayman ibn Amr,3100,31
Dewan_Rakyat,3000,34
Ashura,2900,35
Muhammad,2900,35
Rukun Negara,2900,35
Yang Yang (actor),2900,35
Inna_Lillahi_wa_inna_ilayhi_raji'un,2700,39
Perikatan_Nasional,2600,40
Pakatan_Harapan,2600,40
Proses_Pembentukan_Persekutuan_Malaysia_1963,2600,40
Malacca Sultanate,2600,40
River source,2500,44
Mahathir_Mohamad,2500,44
Independence Day (Malaysia),2500,44
Anwar Ibrahim,2500,44
Tunku_Abdul_Rahman,2300,48
Perjanjian_Persekutuan_Tanah_Melayu_1948,2200,49
2020_Thomas_&_Uber_Cup,2200,49
Ahmad_Maslan,2200,49
Shah_Alam_40000,2200,49
Kleptocracy,2200,49
Hishammuddin_Hussein,2100,54
Yang_di-Pertuan_Agong,2100,54
What_If...?_(TV_series),2100,54
"Hello,_Jangan_Tapau_Cintaku",2100,54
Henry_Golding,2100,54
Ashraf_Ghani,2000,59
Cik_Ayu_Mee_Sanggul,2000,59
1955 Malayan general election,2000,59
Independence_Day_(Malaysia),1900,62
Shang-Chi_and_the_Legend_of_the_Ten_Rings,1900,62
"Members of the Dewan Rakyat, 14th Malaysian Parliament",1900,62
Thomas_Cup,1900,62
Cobbold Commission,1900,62
History of Malaysia,1800,67
Hamzah_Zainudin,1800,67
Beckett_(film),1800,67
Fall_of_Kabul_(2021),1800,67
United_Malays_National_Organisation,1800,67
Constitution of Malaysia,1700,72
Azizulhasni_Awang,1700,72
Khairy_Jamaluddin,1700,72
Anandha_Kannan,1700,72
Malayan campaign,1600,76
Yang di-Pertuan Agong,1600,76
The_Suicide_Squad_(film),1600,76
Asian Games,1500,79
2018_Malaysian_general_election,1500,79
List_of_Running_Man_episodes_(2021),1500,79
Lee_Chong_Wei,1500,79
Malayan_Declaration_of_Independence,1500,79
Monarchies of Malaysia,1500,79
States and federal territories of Malaysia,1500,79
Barisan_Nasional,1500,79
Malaysia Day,1500,79
Najib_Razak,1500,79
States_and_federal_territories_of_Malaysia,1400,89
Mohamed_Azmin_Ali,1400,89
British Malaya,1400,89
Discourse marker,1400,89
Google_Classroom,1400,89
Osama_bin_Laden,1400,89
Hibatullah_Akhundzada,1400,89
Malayan Union,1300,96
Hussein Onn,1300,96
Hussein_Onn,1300,96
