article_transformed,views_ceil,rank
Afghanistan,19100,1
Taliban,18300,2
Duran Duran,8300,3
Microsoft_Office,7900,4
Sean_Lock,7700,5
Frank Zappa,7600,6
Hila_Noorzai,7500,7
Jennie Lena,5700,8
S Club 7,3800,9
S.L. Benfica,3800,9
Sharia,3800,9
Swanenburg_(televisieserie),3800,9
Boeing C-17 Globemaster III,3700,13
Sean Lock,3700,13
Marcel Boekhoorn,3700,13
Simon Le Bon,3600,16
Jorge Jesus,3400,17
Mart_Hoogkamer,3300,18
Edgar_Sengier,3300,18
Louis van Gaal,3000,20
Noni Madueke,2600,21
Aaliyah,2600,21
Cody Gakpo,2500,23
Paul Cattermole,2500,23
August 18,2500,23
Netherlands,2300,26
Islamic_Emirate_of_Afghanistan,2300,26
Downton Abbey,2200,28
Flag_of_Afghanistan,2100,29
Patrick Swayze,2000,30
Non-Stop (film),2000,30
Sigrid Kaag,2000,30
Taiwan,1900,33
John Taylor (bass guitarist),1800,34
Symphony of the Seas,1800,34
List of international license plate codes,1800,34
Panjshir_resistance,1800,34
Marco van Ginkel,1800,34
Osama bin Laden,1800,34
Arnaut Danjuma,1800,34
Al-Qaeda,1700,41
Frank_Zappa,1700,41
De_Slimste_Mens,1700,41
Montenegro,1600,44
War in Afghanistan (2001–2021),1600,44
Haiti,1600,44
Aus_Greidanus_(1950),1600,44
R. Kelly,1600,44
Kimberley_Klaver,1600,44
Yasmin Le Bon,1600,44
Free Souffriau,1600,44
Nederlandse Omroep Stichting,1600,44
Roger Taylor (Duran Duran drummer),1500,53
Boeing_C-17_Globemaster_III,1500,53
Nick Rhodes,1500,53
Ella-June_Henrard,1400,56
Ank Bijleveld,1400,56
Wikipedia:Featured_pictures,1400,56
Gerrit Jan Heijn,1400,56
Elton John,1400,56
Andy van der Meyde,1400,56
Soviet–Afghan War,1400,56
Scarlett Johansson,1400,56
Denzel Slager,1400,56
Ankie Broekers-Knol,1400,56
Kabul,1400,56
Liam Neeson,1400,56
Joris_Bijdendijk,1300,68
Mohammed Omar,1300,68
Tine_Joustra,1300,68
Woke,1300,68
Bruma (footballer),1300,68
Najib Amhali,1200,73
Nicolás Otamendi,1200,73
