article_transformed,views_ceil,rank
Héctor Béjar,9000,1
Cleopatra,7700,2
Afghanistan,5300,3
Marinera,4400,4
Taliban,3600,5
José María Arguedas,3300,6
Translation,2700,7
Operation Condor,2600,8
Periodic table,2600,8
Manuel Rodríguez Cuadros,2400,10
Discrimination,2400,10
Peru,2300,12
Fenómeno_natural,2300,12
Rose of Lima,2100,14
Waru Waru,1900,15
2021 Liga 1 (Peru),1900,15
Yawar Fiesta,1800,17
Gustavo Dulanto,1800,17
Diorama,1700,19
2021–22 UEFA Champions League,1700,19
2021 Copa Libertadores,1600,21
Natural disaster,1400,22
