article_transformed,views_ceil,rank
Taliban,19700,1
Afghanistan,12700,2
Cleopatra,9300,3
Francisco_Duque_III,8300,4
YouTube,6100,5
Philippines,5800,6
Islamic_Emirate_of_Afghanistan,5400,7
Snake_Eyes_(2021_film),4900,8
John_Cena,4600,9
What_If...?_(TV_series),4500,10
Daughter,4400,11
Beckett_(film),4200,12
Gmail,3900,13
Internet,3500,14
Fall_of_Kabul_(2021),3500,14
Yordenis_Ugás,3400,16
Shang-Chi_and_the_Legend_of_the_Ten_Rings,3300,17
"Facebook,_Inc.",3300,17
CEO,3100,19
Google,3100,19
Bliss_(2017_film),3000,21
The_Suicide_Squad_(film),2900,22
YouTube_Music,2900,22
Ashraf_Ghani,2900,22
Google_Translate,2800,25
Islamic_Republic_of_Afghanistan,2800,25
Manny_Pacquiao,2700,27
2021_Taliban_offensive,2700,27
YouTube_Premium,2700,27
Osama_bin_Laden,2600,30
Video_hosting_service,2600,30
Google_Drive,2600,30
Dominic_Roque,2600,30
Susan_Wojcicki,2600,30
IOS,2500,35
Roblox,2500,35
Android_(operating_system),2500,35
Philippines_women's_national_volleyball_team,2400,38
Miss_Supranational_2021,2400,38
Al_Jazeera,2400,38
Panjshir_resistance,2400,38
Deanna_Wong,2400,38
The_Good_Doctor_(TV_series),2400,38
Amrullah_Saleh,2300,44
Boxing_career_of_Manny_Pacquiao,2300,44
Commission_on_Audit_(Philippines),2300,44
List_of_ZIP_codes_in_the_Philippines,2200,47
Nevertheless_(TV_series),2200,47
Avril_Lavigne,2200,47
Snake_Eyes_(G.I._Joe),2100,50
Snowdrop_(South_Korean_TV_series),2100,50
September_11_attacks,2100,50
War_in_Afghanistan_(2001–present),2100,50
John_Riel_Casimero,2100,50
Hibatullah_Akhundzada,2100,50
Academic_grading_in_the_Philippines,2100,50
Father,2100,50
Regions_of_the_Philippines,2000,58
Downton_Abbey,1900,59
Al-Qaeda,1800,60
Tokyo_Revengers,1800,60
People's_Television_Network,1800,60
Ñ,1800,60
Moderna_COVID-19_vaccine,1800,60
Facebook_Messenger,1700,65
Storm_Shadow_(G.I._Joe),1700,65
Police_University,1700,65
Metro_Manila,1600,68
The_Penthouse:_War_in_Life,1600,68
José_Rizal,1600,68
Free_Guy,1600,68
Paul_Buchheit,1600,68
Language,1600,68
Google_Classroom,1500,74
Jimmy_Alapag,1500,74
Sharia,1500,74
Google_Meet,1400,77
MacOS,1400,77
Axie_Infinity,1400,77
Mohammed_Omar,1400,77
Wilbert_Ting_Tolentino,1300,81
Devon_Seron,1300,81
BBC,1300,81
