article_transformed,views_ceil,rank
Cezary Kulesza,64800,1
Afghanistan,48100,2
Taliban,45100,3
Małgorzata_Ostrowska_(piosenkarka),17700,4
Sharia,17100,5
Gabi_Drzewiecka,14300,6
Pectus,13300,7
Dominika_Gawęda,13200,8
Agnieszka Chylińska,11300,9
Blue Café,10600,10
Kasia Kowalska,10100,11
Dawid Kwiatkowski,9900,12
Agnieszka_Mrozińska,7900,13
Andrzej Piaseczny,7700,14
Lombard (band),7400,15
Roksana Węgiel,7300,16
Natalia Nykiel,7200,17
Poland,7200,17
Arek_Kłusowski,7000,19
Green_Star_(wytwórnia_płytowa),6800,20
Grzegorz Skawiński,6800,20
Islamski_Emirat_Afganistanu,6100,22
Ewa Farna,6100,22
Budka Suflera,5800,24
Marek Koźmiński,5700,25
Viki Gabor,5600,26
Kombi (band),5600,26
Osama bin Laden,5600,26
Zbigniew Boniek,5500,29
War in Afghanistan (2001–2021),5500,29
Ahmad Shah Massoud,5100,31
Soviet–Afghan War,5100,31
Cleopatra,4800,33
Polish Football Association,4700,34
Margaret (singer),4600,35
Izabela Trojanowska,4600,35
Mohammed Omar,4500,37
Piotr_Kupicha,4400,38
Islam,4400,38
Kabul,4300,40
Michał_Szczygieł,4300,40
Sean_Connery,4300,40
YouTube,4200,43
Al-Qaeda,4100,44
Mujahideen,4000,45
Jacek_Zejdler,3800,46
August 18,3800,46
Hibatullah Akhundzada,3700,48
Uzbekistan,3700,48
Tatiana Okupnik,3700,48
History of Afghanistan,3500,51
Pakistan,3500,51
Panjshir Valley,3500,51
Grzegorz Hyży,3400,54
Holy Prepuce,3300,55
Zmarli_w_sierpniu_2021,3300,55
Robert Lewandowski,3200,57
Agnieszka_Woźniak-Starak,3100,58
Cleo (Polish singer),3000,59
Sean_Lock,3000,59
Young_Leosia,3000,59
Marta_Cugier,2900,62
Pashtuns,2900,62
Krzysztof_Cugowski,2900,62
Elżbieta Witek,2900,62
Michal (singer),2800,66
Ashraf Ghani,2800,66
Kombii,2800,66
Agnieszka Popielewicz,2800,66
FC Sheriff Tiraspol,2800,66
Sanah (singer),2800,66
Warsaw,2700,72
United States,2700,72
Andy Murray,2700,72
Sopot International Song Festival,2700,72
Paulina Krupińska,2600,76
Vietnam War,2600,76
Romuald_Lipko,2500,78
Feel (Polish band),2500,78
Northern Alliance,2500,78
Zamek_w_Stobnicy,2500,78
Irena Jarocka,2400,82
Kon-Tiki expedition,2400,82
Task Force White Eagle,2300,84
Piotr_Gulczyński,2300,84
Sunni Islam,2300,84
Karol Świerczewski,2300,84
September 11 attacks,2300,84
Vito_Bambino,2300,84
Joanna_Opozda,2300,84
Burqa,2300,84
Shia Islam,2200,92
Melusine,2200,92
Piotr_Woźniak-Starak,2200,92
Bursztynowy_Słowik,2200,92
Hamid Karzai,2200,92
Haiti,2200,92
Ekipa_Friza,2100,98
Lockheed C-130 Hercules,2100,98
Krzysztof Zalewski,2000,100
Islamic_Emirate_of_Afghanistan,2000,100
Iran,2000,100
Anna Wendzikowska,2000,100
Islamic State of Iraq and the Levant,2000,100
Robert_Żarczyński,2000,100
Burhanuddin Rabbani,2000,100
Andrzej Żuławski,2000,100
Marcin Prokop,1900,108
The Good Doctor (TV series),1900,108
Tajikistan,1900,108
Abdul Ghani Baradar,1900,108
Wojna_w_Afganistanie_(2001–2020),1900,108
Boeing C-17 Globemaster III,1900,108
List of cities and towns in Poland,1900,108
Polish Armed Forces rank insignia,1900,108
2021 Taliban offensive,1800,116
Gerd Müller,1800,116
2021–22 UEFA Champions League,1800,116
Urszula Kasprzak,1800,116
Elizabeth II,1800,116
Lista_członków_zespołu_Budka_Suflera,1700,121
Energylandia,1700,121
Marcin_Ułanowski,1700,121
Sławomir Łosowski,1700,121
Nikifor,1700,121
Kwiat_Jabłoni,1700,121
Kostek_Joriadis,1700,121
Highways in Poland,1700,121
Computer science,1700,121
Władysław Komar,1700,121
Cincinnati,1700,121
Sophie Marceau,1600,132
Women in Islam,1600,132
Argiope bruennichi,1600,132
Usnarz Górny,1600,132
Oddział_Zamknięty,1600,132
2021 Women's European Volleyball Championship,1600,132
Panjshir Province,1600,132
Kraków,1600,132
Majka Jeżowska,1600,132
Dagmara_Bryzek,1600,132
Fame_MMA,1600,132
Mieczysław Golba,1600,132
Edyta Górniak,1600,132
Adolf Hitler,1500,145
Telewizja Polska,1500,145
Krzysztof Ibisz,1500,145
List of countries and dependencies by population,1500,145
Paweł_Rurak-Sokal,1500,145
Marek Suski,1500,145
Kamila Skolimowska,1500,145
Mohammad Najibullah,1500,145
Cheiracanthium punctorium,1500,145
The Mire,1500,145
BMW 3 Series,1500,145
Daria_Zawiałow,1500,145
Non-binary gender,1500,145
Germany,1500,145
Pope John Paul II,1500,145
Chernobyl disaster,1500,145
Pashtunwali,1500,145
Paweł Kukiz,1500,145
Joe Biden,1500,145
Wrocław,1400,164
2021–22 UEFA Europa Conference League,1400,164
Hijab,1400,164
Maciej_Sawicki,1400,164
Last Passenger,1400,164
Mata (rapper),1400,164
Caliphate,1400,164
Opium,1400,164
Mrozu,1400,164
Donald Tusk,1400,164
European hornet,1400,164
Maja Hyży,1400,164
Henryk Hoser,1400,164
Felicjan_Andrzejczak,1300,177
Waldemar_Tkaczyk,1300,177
Lionel Messi,1300,177
Jagiellonia Białystok,1300,177
Freddie Highmore,1300,177
Gdańsk,1300,177
Akhtar Mansour,1300,177
Reasumpcja,1300,177
Henryk_Kula,1200,185
Havana_syndrome,1200,185
