article_transformed,views_ceil,rank
Afghanistan,16000,1
Taliban,15500,2
Sean_Lock,9300,3
Sharia,5600,4
Sean Lock,5000,5
PFC Ludogorets Razgrad,3200,6
Pia Cramling,3100,7
Veljko Birmančević,3000,8
Flag_of_Afghanistan,2900,9
Islamic_Emirate_of_Afghanistan,2800,10
Edgar_Sengier,2600,11
Sweden,2300,12
Panjshir_resistance,2200,13
PFC_Ludogorets_Razgrad,2200,13
Mauricio Rojas,2000,15
Amrullah_Saleh,1900,16
Magda Gad,1800,17
Name days in Sweden,1700,18
Chicory,1700,18
Henric_och_Joanna_Stillman,1700,18
Eva Funck,1700,18
Ahmad_Shah_Massoud,1500,22
Samir_Abu_Eid,1500,22
Haiti,1500,22
Carolina Gynning,1400,25
Ashraf_Ghani,1400,25
Antonio Čolak,1400,25
Greek alphabet,1400,25
Tantra,1400,25
Pia_Cramling,1300,30
Sanna Lundell,1300,30
Alice_Petrén,1300,30
Panjshir_Valley,1300,30
