article_transformed,views_ceil,rank
斯卡羅_(電視劇),79100,1
Afghanistan,76100,2
Taliban,71700,3
鄧佳華,44600,4
You Are My Glory,26200,5
斯卡羅,25500,6
Rover incident,21500,7
黃金歲月,16700,8
周生如故,16200,9
俗女養成記2,13100,10
Wen Chen-ling,13000,11
Yang Yang (actor),12000,12
俗女養成記,11400,13
Kris Wu,10900,14
2015–16 New Year's Eve sexual assaults in Germany,10700,15
MVC COVID-19 vaccine,10600,16
Charles Le Gendre,10100,17
天之驕女,9900,18
Police University,9800,19
Girls Planet 999,9500,20
True Beauty (South Korean TV series),9400,21
周厚安,9300,22
Japanese invasion of Taiwan (1874),9200,23
Nevertheless (TV series),8900,24
瑯嶠十八社,8800,25
与君歌,8800,25
African sacred ibis,8800,25
天龍八部_(2021年電視劇),8400,28
War in Afghanistan (2001–2021),8400,28
Dilraba Dilmurat,7900,30
Crush (TV series),7500,31
Osama bin Laden,7300,32
That Time I Got Reincarnated as a Slime,7000,33
Zhang Zhehan,6800,34
Lin Yanjun,6700,35
Doctor John (TV series),6500,36
The Witch's Diner,6400,37
Ahmad Shah Massoud,6300,38
Panjshir resistance,6200,39
Hsieh Che-ching,6100,40
Buddhas of Bamiyan,6100,40
Hospital Playlist,6000,42
卓杞篤,6000,42
Tatsuhisa Suzuki,6000,42
Lithuania,6000,42
查馬克·法拉屋樂,5700,46
Ashraf Ghani,5700,46
Ivy Yin,5600,48
Taiwan,5600,48
List of That Time I Got Reincarnated as a Slime characters,5500,50
Tokyo Revengers,5400,51
The Suicide Squad (film),5300,52
The Devil Judge,5300,52
F9 (film),5200,54
The Spies Who Loved Me,5200,54
傀儡花,5200,54
法比歐,5100,57
蕭淑慎,5100,57
時代少年團,5000,59
September 11 attacks,5000,59
Call Me By Fire,5000,59
Islam,4800,62
Free Guy,4800,62
理想之城,4700,64
Hsieh Ying-xuan,4700,64
Wu Kang-ren,4700,64
你微笑時很美,4700,64
Amrullah Saleh,4600,68
Northern Alliance,4600,68
Cha Eun-woo,4600,68
陪你看天星,4500,71
Unforgettable Love,4500,71
Word of Honor (TV series),4500,71
玉楼春_(电视剧),4400,74
Al-Qaeda,4400,74
全明星運動會,4300,76
三光幫,4300,76
William A. Pickering,4200,78
She Was Pretty,4200,78
Jujutsu Kaisen,4200,78
金敏京,4100,81
Hotel del Luna,4100,81
上游_(電視劇),4100,81
機智醫生生活2,4000,84
Islamic Emirate of Afghanistan,4000,84
Hwang In-youp,4000,84
女力報到－男人止步,3900,87
潘文杰_(大頭目),3900,87
The Detective is Already Dead,3900,87
Hololive Production,3900,87
Chūka Ichiban!,3800,91
John Cena,3800,91
千古玦尘,3700,93
BTS,3700,93
Snake Eyes (2021 film),3700,93
Twice,3700,93
Neon Genesis Evangelion,3600,97
Hellraiser,3600,97
Joy of Life (TV series),3600,97
Racket Boys,3600,97
The Song of Glory,3500,101
List of Case Closed episodes (seasons 1–15),3500,101
第32屆金曲獎,3500,101
陳耀昌,3500,101
神之鄉,3500,101
Islamic State of Iraq and the Levant,3500,101
2021 Taliban offensive,3500,101
Rao Ching-ling,3500,101
Ren Jialun,3400,109
Xu Kai,3400,109
You Are My Spring,3400,109
(G)I-dle,3400,109
Mohammed Omar,3400,109
Chang Ya-chung,3400,109
The Long Ballad,3400,109
Henry Lau,3300,116
Shang-Chi and the Legend of the Ten Rings,3300,116
劉明燈,3300,116
What's Wrong with Secretary Kim,3300,116
Go Ahead (TV series),3200,120
时代峰峻,3200,120
Record of Ragnarok,3200,120
Haiti,3100,123
Bai Lu (actress),3100,123
曾頌恩,3100,123
Park Seo-joon,3100,123
Song Kang,3000,127
王宇婕,3000,127
Tai Tzu-ying,3000,127
List of Haikyu!! characters,3000,127
Tomorrow X Together,3000,127
Periodic table,3000,127
我在他乡挺好的,3000,127
陳查某,3000,127
條子阿不拉,3000,127
Haikyu!!,2900,136
Classroom of the Elite,2900,136
Red Velvet (group),2900,136
許藍方,2900,136
Wu Pong-fong,2900,136
Vietnam War,2900,136
A Touch of Green,2900,136
李承铉,2800,143
阿布都·拉希德·杜斯塔姆,2800,143
The Demi-Gods and Semi-Devils (2013 TV series),2800,143
Ruyi's Royal Love in the Palace,2800,143
朋友遊戲,2800,143
Vincenzo (TV series),2800,143
Zhao Lusi,2800,143
JoJo's Bizarre Adventure,2800,143
換乘戀愛,2800,143
Islamic Republic of Afghanistan,2800,143
南岬之盟,2700,153
Jaw Shaw-kong,2700,153
CLC (group),2700,153
中国大陆电视剧列表_(2021年),2700,153
掃黑風暴,2700,153
Crazy Rich Asians (film),2700,153
Grand_Maison東京,2700,153
涅墨西斯_(電視劇),2700,153
茶金,2600,161
吳以涵,2600,161
Yang Mi,2600,161
Wakin Chau,2600,161
Selina Jen,2600,161
Dune (2021 film),2600,161
Adam Cheng,2600,161
History of Afghanistan,2600,161
Gojūon,2600,161
12 Strong,2600,161
Blackpink,2600,161
Nothing But Thirty,2600,161
Mysterious Personal Shopper,2600,161
The Penthouse: War in Life,2500,174
王瞳,2500,174
Xiao Zhan,2500,174
Evangelion: 3.0+1.0 Thrice Upon a Time,2500,174
Lorene Ren,2500,174
Wang Yibo,2500,174
公共電視文化事業基金會,2500,174
Ji Sung,2500,174
我的婆婆怎麼那麼可愛,2500,174
Penthouse_3,2500,174
Pakistan,2500,174
張承中,2500,174
Second Taiwan Strait Crisis,2500,174
袁艾菲,2500,174
Bi Wenjun,2500,174
馬汀尼,2400,189
台灣YouTube頻道訂閱人數排行榜,2400,189
Prison Playbook,2400,189
Moon Ga-young,2400,189
Lo Ta-yu,2400,189
Demi-Gods and Semi-Devils,2400,189
List of Jujutsu Kaisen characters,2400,189
Under the Power,2400,189
Lin Yun-ju,2400,189
曹瑞原,2400,189
Bay of Pigs Invasion,2400,189
Gong Jun,2400,189
Re:Zero − Starting Life in Another World,2400,189
Love O2O (TV series),2300,202
魏哲鸣,2300,202
觀月雛乃,2300,202
Stephen Hawking,2300,202
Lydia Shum,2300,202
Demon Slayer: Kimetsu no Yaiba,2300,202
Malala Yousafzai,2300,202
Sean Huang,2300,202
Parkinson's disease,2300,202
Park Min-young,2300,202
Palau,2300,202
Voice_4,2300,202
Yasukuni Shrine,2300,202
Mouse (TV series),2300,202
The King's Avatar (2019 TV series),2200,216
Geography of Afghanistan,2200,216
朱宥勳,2200,216
Exo (group),2200,216
China,2200,216
Chang Che-ping,2200,216
IU (singer),2200,216
高鳴_(演員),2200,216
Cheng Xiao,2200,216
黃露瑤,2200,216
Krystal Jung,2200,216
The Untamed (TV series),2200,216
中華一番！角色列表,2200,216
Turkistan Islamic Party,2200,216
Li Qin (actress),2200,216
Hibatullah Akhundzada,2100,231
Li Zongren,2100,231
Xi Jinping,2100,231
Cheng Yi (actor),2100,231
Jeon So-mi,2100,231
Wan Peng,2100,231
COVID-19 pandemic,2100,231
顾漫,2100,231
Tajikistan,2100,231
苏联－阿富汗战争,2100,231
Janice Wu,2000,241
Tsai Ing-wen,2000,241
夏靖庭,2000,241
Kabul,2000,241
藍葦華,1900,245
一生一世_(2021年电视剧),1900,245
Israel,1900,245
Sunni Islam,1900,245
Beijing Media Network,1900,245
Jo Jung-suk,1900,245
Jung Jin-young (singer),1900,245
Joyce Cheng,1900,245
Lyn_May,1900,245
Fall of Kabul (2021),1900,245
如懿傳角色列表,1800,255
琇琴,1800,255
Bamboo Chen,1800,255
Taiwan (island),1800,255
Jag Huang,1800,255
阿富汗伊斯蘭酋長國,1800,255
Tales_(video_game_series),1800,255
Sharia,1800,255
Formosa Expedition,1800,255
Taiwanese Communist Party,1700,264
Chae Jong-hyeop,1700,264
China Central Television,1700,264
Han So-hee,1700,264
Mudan incident,1700,264
攻佔喀布爾_(2021年),1600,269
Felipe_Vázquez,1600,269
楊洋,1600,269
Gina Jin,1600,269
Panjshir Province,1600,269
Fourth_Estate_(Department_of_Defense),1600,269
Charikar,1500,275
Jonny Kim,1400,276
蓋達組織,1400,276
迪麗熱巴,1400,276
Typhoon Yunya (1991),1400,276
國語週刊,1200,280
阿富汗伊斯蘭共和國,1200,280
賓拉登,1100,282
周華健,1100,282
