article_transformed,views_ceil,rank
Taliban,44000,1
Afghanistan,23300,2
YouTube,13100,3
Oleksandr Petrakov,11000,4
Transfiguration of Jesus,7000,5
Apple Feast of the Saviour,6900,6
Sharia,6200,7
Soviet–Afghan War,6200,7
Facebook,5800,9
Ukraine,5600,10
Python (programming language),5500,11
Golang,5200,12
All-Russia State Television and Radio Broadcasting Company,5200,12
Online video platform,5200,12
2019,5200,12
Argiope bruennichi,4100,16
Ahmad Shah Massoud,3900,17
United States,3900,17
2021 Taliban offensive,3800,19
Antonov An-225 Mriya,3700,20
Independence Day of Ukraine,3400,21
NTV (Russia),3400,21
Ilyushin Il-112,3300,23
Instagram,3300,23
Al-Qaeda,3300,23
Translator,3300,23
Single-player video game,3100,27
Pashtuns,2900,28
Social network,2900,28
Android (operating system),2800,30
Multiplayer video game,2700,31
FC Sheriff Tiraspol,2600,32
Social networking service,2500,33
Osama bin Laden,2400,34
Deaths in 2021,2400,34
Приват24,2300,36
Солнцепёк_(фильм),2300,36
War in Afghanistan (2001–2021),2200,38
Abdul Ghani Baradar,2200,38
California,2100,40
Burshtyn TES,2100,40
RuTracker.org,2100,40
The Suicide Squad (film),2100,40
Pakistan,2100,40
Ashraf Ghani,2000,45
August 18,2000,45
Hibatullah Akhundzada,2000,45
Mark Zuckerberg,2000,45
Islamic State of Iraq and the Levant,2000,45
"Menlo Park, California",2000,45
Kyiv,1900,51
"Павлов,_Константин_Юрьевич",1900,51
PHP,1900,51
Astrological sign,1800,54
Panjshir resistance,1700,55
Афганские_моджахеды,1700,55
Irina Gorbacheva,1600,57
Kabul,1600,57
Russia,1600,57
Mohammed Omar,1600,57
Panjshir Province,1600,57
PrivatBank,1600,57
Bacha bazi,1600,57
Zhan Beleniuk,1500,64
Исламский_Эмират_Афганистан,1500,64
Ahmad Massoud,1400,66
Northern Alliance,1400,66
Shahada,1300,68
