article_transformed,views_ceil,rank
Taliban,213200,1
Afghanistan,145000,2
Thank_You/en,82100,3
Edgar_Sengier,76400,4
Greg_Abbott,73500,5
Scarlett_Johansson,71200,6
Sean_Lock,68200,7
Islamic_Emirate_of_Afghanistan,65000,8
The_White_Lotus,62500,9
Deaths_in_2021,55700,10
Ashraf_Ghani,49000,11
What_If...?_(TV_series),48000,12
Beckett_(film),47100,13
Fall_of_Kabul_(2021),45400,14
F5_Networks,44700,15
Panjshir_resistance,36900,16
2021_Taliban_offensive,34700,17
The_Suicide_Squad_(film),34200,18
War_in_Afghanistan_(2001–present),33400,19
Sharia,33400,19
Shang-Chi_and_the_Legend_of_the_Ten_Rings,33000,21
Free_Guy,32500,22
Hibatullah_Akhundzada,32000,23
Cleopatra,31800,24
Islamic_Republic_of_Afghanistan,31700,25
Nine_Perfect_Strangers_(miniseries),31600,26
Index.html,31000,27
Amrullah_Saleh,30600,28
Skathi_(moon),30600,28
Al-Qaeda,29900,30
Val_Kilmer,29400,31
Mohammed_Omar,29200,32
Hamid_Karzai,27300,33
Mark_Milley,27300,33
Abdul_Ghani_Baradar,27000,35
Colin_Jost,26100,36
Ashura,24900,37
Ahmad_Shah_Massoud,24800,38
Osama_bin_Laden,24600,39
Soviet–Afghan_War,24200,40
File:ოზურგეთის_მაზრა.jpg,23500,41
2008_South_Carolina_Learjet_60_crash,23400,42
Clarissa_Ward,23300,43
Portal:Current_events,23200,44
Aretha_Franklin,23100,45
Jake_Sullivan,22800,46
Josh_Rosen,22600,47
Lloyd_Austin,22500,48
Tim_Tebow,22400,49
Cat,22100,50
Robert_Redford,21400,51
Gloria_Grahame,21300,52
Laura_Prepon,20400,53
Joe_Biden,20200,54
Ted_Lasso,20000,55
33_Thomas_Street,19900,56
Fall_of_Saigon,19800,57
United_States,19700,58
The_Natural_(film),19700,58
Larry_Elder,19300,60
Ryan_Reynolds,19100,61
Nine_Perfect_Strangers,18900,62
Amanda_Peet,18400,63
Awkwafina,18300,64
Alexandra_Daddario,18200,65
Northern_Alliance,17800,66
Kabul,17600,67
Pigeonhole_principle,17500,68
Aaliyah,17300,69
Critical_race_theory,17300,69
Travis_Barker,17100,71
Flag_of_Afghanistan,16800,72
Boeing_C-17_Globemaster_III,16200,73
Clay_Higgins,15800,74
Gurian_Republic,15600,75
Jay_Pickett,15600,75
August_18,15500,77
Vietnam_War,15300,78
Malala_Yousafzai,15300,78
Incel,15300,78
September_11_attacks,15300,78
2021_California_gubernatorial_recall_election,15300,78
Ben_Foster,15200,83
Ivermectin,15200,83
Bacha_bazi,15100,85
Ahmad_Massoud,15000,86
Withdrawal_of_United_States_troops_from_Afghanistan_(2020–2021),14600,87
Panjshir_Valley,14600,87
Trevor_Moore_(comedian),14600,87
SummerSlam_(2021),14600,87
Gary_Ridgway,14400,91
Star_Wars:_Visions,14300,92
File:Bally_sports_logo.svg,14300,92
File:Antenna_TV_logo.svg,14100,94
Jermaine_O'Neal,14100,94
Rick_and_Morty_(season_5),14100,94
Dennis_Rader,14100,94
Jennifer_Coolidge,13900,98
R._Kelly,13900,98
Bowe_Bergdahl,13800,100
David_Spade,13500,101
Snake_Eyes_(2021_film),13500,101
Titans_(2018_TV_series),13400,103
Wikipedia,13200,104
Robert_Durst,13000,105
Wikipedia:Featured_pictures,12900,106
Operation_Cyclone,12800,107
Christy_Martin_(boxer),12700,108
Diane_Downs,12600,109
Uner_Tan_syndrome,12500,110
Microsoft_Office,12500,110
Jack_Morris,12300,112
Havana_syndrome,12300,112
Donald_Trump,12200,114
Help:IPA/English,12100,115
Jeffrey_Dahmer,12100,115
Robin_Williams,12100,115
Ted_Bundy,12000,118
United_States_invasion_of_Afghanistan,12000,118
Shang-Chi,11900,120
Brendan_Fraser,11900,120
Elizabeth_II,11900,120
Christopher_Duntsch,11900,120
Outer_Banks_(TV_series),11900,120
Mohammad_Najibullah,11700,125
John_David_Washington,11600,126
Deobandi,11600,126
Islamic_State_of_Iraq_and_the_Levant,11600,126
History_of_Afghanistan,11600,126
XXX_(2002_film),11500,130
Dua_Lipa,11300,131
Hope_Solo,11300,131
Buddhas_of_Bamiyan,11300,131
Pansexuality,11200,134
Mujahideen,11200,134
The_Fear_Index,11200,134
Superman_&_Lois,11100,137
Suicide_Squad_(film),11100,137
Bob_Dylan,11100,137
United_States_presidential_line_of_succession,11100,137
Murray_Bartlett,11100,137
Sydney_Sweeney,11000,142
XXX_(film_series),11000,142
John_Wayne_Gacy,10900,144
2003_NBA_draft,10800,145
Music,10800,145
Donda_(album),10800,145
Camp_David,10700,148
Olivia_Rodrigo,10700,148
Mike_White_(filmmaker),10700,148
Bob_Ross,10700,148
Hellraiser,10600,152
Elon_Musk,10600,152
Jason_Momoa,10500,154
2021_Atlantic_hurricane_season,10500,154
Michael_Keaton,10500,154
Harley_Quinn,10500,154
Chadwick_Boseman,10400,158
Metta_Sandiford-Artest,10400,158
Michael_Jordan,10300,160
Brand_New_Cherry_Flavor,10300,160
Elvis_Presley,10200,162
Paris_Hilton,10200,162
Pashtuns,10100,164
Gavin_Newsom,10100,164
Mayim_Bialik,10100,164
Old_(film),10100,164
Titans_(season_3),10100,164
Bagram_Airfield,10100,164
Taika_Waititi,10000,170
Dexter_Lumis,10000,170
Andrew_Cuomo,10000,170
Panjshir_Province,9900,173
Barbie,9900,173
John_Cena,9800,175
Manifest_(TV_series),9800,175
Madelyn_Cline,9800,175
Frank_Abagnale,9800,175
YouTube,9700,179
Barack_Obama,9700,179
Panjshir_conflict,9600,181
Akhtar_Mansour,9600,181
Candyman_(2021_film),9600,181
Burqa,9600,181
Haiti,9600,181
Robert_J._O'Neill,9600,181
Madonna,9600,181
Jake_Lacy,9600,181
Nicole_Kidman,9500,189
Stonewall_Nation,9500,189
Nanci_Griffith,9500,189
Reminiscence_(2021_film),9500,189
Julie_Bowen,9500,189
Samara_Weaving,9500,189
Pacers–Pistons_brawl,9400,195
Pakistan,9400,195
Jacob_Elordi,9400,195
Eternals_(film),9400,195
Bible,9400,195
Ron_DeSantis,9300,200
Dakota_Johnson,9300,200
Robert_De_Niro,9300,200
Patrick_Swayze,9200,203
Dennis_Nilsen,9200,203
All_American_(TV_series),9200,203
Kanye_West,9200,203
Clint_Eastwood,9200,203
Indi_Hartwell,9200,203
DeMarcus_Lawrence,9200,203
Spencer_Paysinger,9100,210
Vikram_Batra,9100,210
2018_NFL_Draft,9100,210
Hashish,9100,210
2020_United_States_presidential_election,9000,214
English_Wikipedia,9000,214
Reservation_Dogs,9000,214
President_of_Afghanistan,8900,217
Connie_Britton,8900,217
Evangelion:_3.0+1.0_Thrice_Upon_a_Time,8800,219
XXXX,8800,219
Cecilia_Abbott,8700,221
In_a_Lonely_Place,8700,221
Wendy_Sherman,8700,221
Billie_Jean_King,8700,221
COVID-19_pandemic,8700,221
Don't_Breathe_2,8700,221
Taiwan,8700,221
Democratic_Republic_of_Afghanistan,8600,228
Greek_alphabet,8600,228
"Mary,_Queen_of_Scots",8500,230
Flora_Mae_Hunter,8500,230
Minnie_Driver,8500,230
The_Kissing_Booth_3,8500,230
Stargirl_(TV_series),8500,230
Hamid_Karzai_International_Airport,8500,230
Jason_Sudeikis,8500,230
American_Horror_Story,8500,230
Brittany_O'Grady,8500,230
New_York_City,8400,239
Chris_Bassitt,8400,239
American_Horror_Stories,8400,239
Arnold_Schwarzenegger,8400,239
Geraldo_Rivera,8400,239
Mikhail_Gorbachev,8400,239
Willy_Falcon,8300,245
Special:Watchlist,8300,245
George_W._Bush,8300,245
Michael_Shannon,8300,245
Orlando_Pace,8300,245
Jungle_Cruise_(film),8300,245
Sean_Penn,8200,251
Hannah_Waddingham,8200,251
LeBron_James,8200,251
Jodie_Comer,8200,251
Alan_Alda,8200,251
Jimmy_Carter,8200,251
Naomi_Osaka,8200,251
Britney_Spears,8100,258
Kepler's_Supernova,8100,258
Achelousaurus,8100,258
Battle_of_Long_Tan,8100,258
Dwayne_Johnson,8100,258
Jane_Fonda,8100,258
Blake_Lively,8100,258
Pete_Buttigieg,8100,258
Marvel_Cinematic_Universe:_Phase_Four,8000,266
Caitríona_Balfe,8000,266
Kelsey_Grammer,8000,266
Don't_Breathe,8000,266
Saddam_Hussein,8000,266
Nuremberg_Code,8000,266
QAnon,7900,272
Kobe_Bryant,7900,272
Margot_Robbie,7900,272
Chase_Stokes,7900,272
Afghan_National_Army,7900,272
Kevin_Durant,7900,272
Abdul_Rashid_Dostum,7900,272
Ben_Affleck,7900,272
The_Green_Knight_(film),7900,272
Simu_Liu,7800,281
The_Big_Heat,7800,281
Joey_Lawrence,7800,281
Idris_Elba,7700,284
Betty_White,7700,284
Miguel_Ángel_Félix_Gallardo,7700,284
Fantasy_Island_(2021_TV_series),7700,284
Grace_and_Frankie,7700,284
Maria_Andrejczyk,7700,284
Sufjan_Stevens,7700,284
The_Martian_(film),7700,284
Postal_savings_system,7700,284
The_Walking_Dead_(TV_series),7700,284
Tajikistan,7600,294
Neon_Genesis_Evangelion,7600,294
Pete_Davidson,7600,294
World_War_II,7600,294
Windows_10_version_history,7500,298
Tom_Brady,7500,298
Iraq_War,7500,298
Google,7400,301
Jamal_Adams,7400,301
List_of_United_States_cities_by_population,7400,301
Tucker_Carlson,7400,301
NXT_TakeOver_36,7400,301
List_of_Marvel_Cinematic_Universe_films,7400,301
Steve_Zahn,7400,301
Black_Widow_(2021_film),7400,301
Jackie_MacMullan,7400,301
Kevin_Costner,7400,301
Jeff_Bezos,7400,301
O._J._Simpson,7300,312
Ayman_al-Zawahiri,7300,312
Republic_of_Molossia,7300,312
List_of_serial_killers_by_number_of_victims,7300,312
List_of_largest_cities_throughout_history,7300,312
Ben_DiNucci,7200,317
Michael_Jackson,7200,317
Joanne_Whalley,7200,317
Marilyn_Monroe,7200,317
Doja_Cat,7200,317
1783_Great_Meteor,7200,317
Lionel_Messi,7200,317
Kim_Richards,7100,324
Afghan_Air_Force,7100,324
Raymond_Leo_Burke,7100,324
Mae_Whitman,7100,324
Pokémon_Legends:_Arceus,7100,324
Freddie_Mercury,7100,324
United_States_military_casualties_in_the_War_in_Afghanistan,7100,324
Afghan_mujahideen,7100,324
California,7100,324
Ernest_Hemingway,7100,324
Aden_Durde,7100,324
Joey_King,7100,324
Stephen_Jackson,7000,336
Big_Brother_23_(American_season),7000,336
Field_of_Dreams,7000,336
2021_NFL_Draft,7000,336
Jennifer_Hudson,7000,336
Avril_Lavigne,7000,336
Rachel_Weisz,6900,342
Deepwater_Horizon_oil_spill,6900,342
Sarah_Paulson,6900,342
Antonio_Banderas,6900,342
Franklin_D._Roosevelt,6900,342
Ronald_Reagan,6900,342
List_of_presidents_of_the_United_States,6900,342
The_Night_House,6900,342
Kristen_Stewart,6900,342
Roselyn_Sánchez,6800,351
Johnny_Depp,6800,351
United_Arab_Emirates,6800,351
Taliban_treatment_of_women,6800,351
Restrepo_(film),6800,351
Vivo_(film),6800,351
Special:RecentChanges,6700,357
Barbra_Streisand,6700,357
Snake_Eyes_(G.I._Joe),6700,357
Home_Economics_(TV_series),6700,357
John_F._Kennedy,6700,357
Keanu_Reeves,6700,357
Billie_Joe_Armstrong,6700,357
Elizabeth_Debicki,6700,357
Muhammad_Ali,6700,357
Pinhead_(Hellraiser),6700,357
Periodic_table,6700,357
Rick_and_Morty,6700,357
Kamala_Harris,6600,369
Jennifer_Lopez,6600,369
Paul_Mitchell_(politician),6600,369
Null,6600,369
Devin_Booker,6600,369
Bobby_Cannavale,6600,369
Sofía_Vergara,6600,369
The_Walking_Dead_(season_11),6600,369
Kyle_Richards,6600,369
The_Stupids_(film),6600,369
Mare_of_Easttown,6500,379
Amber_Heard,6500,379
Friday_Night_Lights_(TV_series),6500,379
Minka_Kelly,6500,379
Google_Classroom,6500,379
Cristiano_Ronaldo,6500,379
List_of_American_films_of_2021,6500,379
Clay_Bennett_(businessman),6500,379
Antony_Blinken,6500,379
Doha_Agreement_(2020),6500,379
Godzilla_vs._Kong,6500,379
Adolf_Hitler,6500,379
Luke_Evans,6400,391
Dune_(2021_film),6400,391
List_of_Rick_and_Morty_episodes,6400,391
Lizzo,6400,391
Lonzo_Ball,6400,391
Uzbekistan,6400,391
Ozzy_Osbourne,6400,391
Ilyushin_Il-112,6400,391
List_of_A_Certain_Magical_Index_light_novels,6400,391
Eminem,6400,391
Bo_Burnham,6400,391
Josh_Blue,6400,391
List_of_wars_involving_the_United_States,6400,391
Jennifer_Aniston,6300,404
NBA_Summer_League,6300,404
Watts_family_murders,6300,404
F9_(film),6300,404
Kevin_Paffrath,6300,404
Dominic_West,6300,404
America's_Got_Talent_(season_16),6300,404
The_Way_We_Were,6300,404
Robin_Wright,6300,404
Trevor_Bauer,6300,404
Chernobyl_disaster,6300,404
Tupac_Shakur,6300,404
Rula_Ghani,6200,416
Daniel_Craig,6200,416
Alicia_Vikander,6200,416
Lisa_Bonet,6200,416
Chris_Evans_(actor),6200,416
Nicolas_Cage,6200,416
History_of_the_British_farthing,6200,416
Shershaah,6200,416
Reggie_Miller,6100,424
Polka-Dot_Man,6100,424
Sandra_Bullock,6100,424
Gaslighting,6100,424
Shyne,6100,424
Catch_Me_If_You_Can,6100,424
Sicario_(2015_film),6100,424
Lockheed_C-5_Galaxy,6100,424
Juno_Temple,6100,424
List_of_states_and_territories_of_the_United_States,6100,424
Tom_Cruise,6100,424
Spanish_flu,6100,424
Darren_Collison,6000,436
Joshua_Jackson,6000,436
U.S._state,6000,436
Denzel_Washington,6000,436
Charlie_Sykes,6000,436
Channing_Tatum,6000,436
Lauren_Boebert,6000,436
Invasions_of_Afghanistan,6000,436
Iraq,6000,436
Tuskegee_Syphilis_Study,6000,436
Carmelo_Anthony,6000,436
Elliot_Page,6000,436
Nathan_J._Robinson,6000,436
Alexander_Hamilton,6000,436
Candyman_(1992_film),6000,436
2021_Haiti_earthquake,5900,451
The_Sopranos,5900,451
Heels_(TV_series),5900,451
Killing_of_Osama_bin_Laden,5900,451
Leonardo_DiCaprio,5900,451
Selma_Blair,5900,451
Davion_Mitchell,5900,451
RuPaul's_Drag_Race_All_Stars_(season_6),5900,451
Spider-Man:_No_Way_Home,5900,451
Mohammad_Yaqoob,5900,451
Rosario_Dawson,5900,451
Melanie_Griffith,5900,451
Poppy_Harlow,5900,451
Ariana_Grande,5900,451
China,5900,451
List_of_NBA_champions,5900,451
Katherine_Timpf,5900,451
Sylvester_Stallone,5900,451
World_War_I,5800,469
Pacific_Rim_(film),5800,469
Jurassic_Park_(film),5800,469
Kathy_Hilton,5800,469
