country_code,rank,views_ceil,views_ceil_per_day
US,1.0,3185538000.0,102759290
JP,2.0,1146170000.0,36973225
IN,3.0,981508000.0,31661548
DE,4.0,908477000.0,29305709
GB,5.0,877049000.0,28291903
RU,6.0,557295000.0,17977258
FR,7.0,547442000.0,17659419
IT,8.0,527012000.0,17000387
CA,9.0,410136000.0,13230193
TW,10.0,366683000.0,11828483
BR,11.0,302223000.0,9749129
AU,12.0,289116000.0,9326322
ES,13.0,279917000.0,9029580
PL,14.0,264018000.0,8516709
ID,15.0,198404000.0,6400129
MX,16.0,189657000.0,6117967
NL,17.0,187959000.0,6063193
IR,18.0,186846000.0,6027290
HK,19.0,178685000.0,5764032
UA,20.0,175712000.0,5668129
SE,21.0,146721000.0,4732935
MY,22.0,145079000.0,4679967
TR,23.0,144052000.0,4646838
PH,24.0,139561000.0,4501967
AR,25.0,131549000.0,4243516
KR,26.0,110592000.0,3567483
TH,27.0,110197000.0,3554741
VN,28.0,102292000.0,3299741
IL,29.0,100735000.0,3249516
FI,30.0,97511000.0,3145516
CH,31.0,97391000.0,3141645
SG,32.0,93165000.0,3005322
BE,33.0,92517000.0,2984419
AT,34.0,89808000.0,2897032
CO,35.0,87297000.0,2816032
ZA,36.0,85691000.0,2764225
CZ,37.0,82703000.0,2667838
GR,38.0,73476000.0,2370193
SA,39.0,73178000.0,2360580
CL,40.0,71325000.0,2300806
PE,41.0,64976000.0,2096000
HU,42.0,64384000.0,2076903
IE,43.0,63990000.0,2064193
RO,44.0,62379000.0,2012225
PK,45.0,58965000.0,1902096
BD,46.0,57616000.0,1858580
EG,47.0,56075000.0,1808870
NO,48.0,56030000.0,1807419
PT,49.0,55971000.0,1805516
DK,50.0,55815000.0,1800483
NZ,51.0,46930000.0,1513870
NG,52.0,45028000.0,1452516
RS,53.0,42206000.0,1361483
KZ,54.0,40450000.0,1304838
BG,55.0,36894000.0,1190129
BY,56.0,33956000.0,1095354
AE,57.0,33870000.0,1092580
HR,58.0,32029000.0,1033193
MA,59.0,29134000.0,939806
EC,60.0,28730000.0,926774
VE,61.0,27855000.0,898548
DZ,62.0,27095000.0,874032
IQ,63.0,24391000.0,786806
SK,64.0,23572000.0,760387
LK,65.0,21876000.0,705677
AZ,66.0,18225000.0,587903
DO,67.0,17019000.0,549000
LT,68.0,16456000.0,530838
KE,69.0,16444000.0,530451
NP,70.0,15977000.0,515387
BO,71.0,15701000.0,506483
EE,72.0,15473000.0,499129
GT,73.0,15061000.0,485838
CR,74.0,14703000.0,474290
TN,75.0,14640000.0,472258
SI,76.0,14498000.0,467677
PA,77.0,14346000.0,462774
GE,78.0,14310000.0,461612
UY,79.0,13842000.0,446516
--,80.0,13028000.0,420258
KW,81.0,12662000.0,408451
LV,82.0,12390000.0,399677
UZ,83.0,12373000.0,399129
BA,84.0,12331000.0,397774
JO,85.0,12273000.0,395903
GH,86.0,10217000.0,329580
AM,87.0,9890000.0,319032
AL,88.0,8402000.0,271032
KH,89.0,8134000.0,262387
PY,90.0,8072000.0,260387
MD,91.0,8059000.0,259967
MK,92.0,7927000.0,255709
HN,93.0,7639000.0,246419
SV,94.0,7618000.0,245741
QA,95.0,7593000.0,244935
LB,96.0,7548000.0,243483
LU,97.0,7476000.0,241161
PR,98.0,7377000.0,237967
CY,99.0,7117000.0,229580
CN,100.0,6928000.0,223483
MO,101.0,6889000.0,222225
OM,102.0,6842000.0,220709
KG,103.0,6110000.0,197096
TZ,104.0,5968000.0,192516
CI,105.0,5687000.0,183451
SY,106.0,5344000.0,172387
CD,107.0,5291000.0,170677
BH,108.0,5256000.0,169548
SD,109.0,5213000.0,168161
ET,110.0,4829000.0,155774
IS,111.0,4792000.0,154580
CM,112.0,4790000.0,154516
ME,113.0,4677000.0,150870
NI,114.0,4546000.0,146645
LY,115.0,4317000.0,139258
SN,116.0,4153000.0,133967
TT,117.0,4129000.0,133193
MT,118.0,4120000.0,132903
UG,119.0,4076000.0,131483
PS,120.0,3870000.0,124838
YE,121.0,3693000.0,119129
JM,122.0,3353000.0,108161
MU,123.0,3343000.0,107838
MM,124.0,3319000.0,107064
MZ,125.0,3227000.0,104096
MN,126.0,3117000.0,100548
AO,127.0,3043000.0,98161
CU,128.0,2986000.0,96322
RE,129.0,2913000.0,93967
ZM,130.0,2749000.0,88677
ZW,131.0,2496000.0,80516
HT,132.0,2365000.0,76290
BN,133.0,2360000.0,76129
AF,134.0,2215000.0,71451
MG,135.0,2197000.0,70870
BJ,136.0,1816000.0,58580
TM,137.0,1675000.0,54032
SO,138.0,1649000.0,53193
MV,139.0,1619000.0,52225
RW,140.0,1589000.0,51258
BW,141.0,1494000.0,48193
BF,142.0,1423000.0,45903
ML,143.0,1419000.0,45774
LA,144.0,1315000.0,42419
GN,145.0,1315000.0,42419
TJ,146.0,1305000.0,42096
NA,147.0,1303000.0,42032
GP,148.0,1277000.0,41193
TG,149.0,1211000.0,39064
MQ,150.0,1202000.0,38774
JE,151.0,1193000.0,38483
BS,152.0,1078000.0,34774
IM,153.0,1054000.0,34000
SR,154.0,1052000.0,33935
GA,155.0,1047000.0,33774
FJ,156.0,1046000.0,33741
GY,157.0,932000.0,30064
BB,158.0,927000.0,29903
XK,159.0,905000.0,29193
MR,160.0,879000.0,28354
MW,161.0,874000.0,28193
NC,162.0,865000.0,27903
GU,163.0,835000.0,26935
LR,164.0,826000.0,26645
PG,165.0,783000.0,25258
SL,166.0,746000.0,24064
BZ,167.0,693000.0,22354
SC,168.0,655000.0,21129
PF,169.0,650000.0,20967
CG,170.0,610000.0,19677
NE,171.0,601000.0,19387
GG,172.0,575000.0,18548
BT,173.0,540000.0,17419
CW,174.0,516000.0,16645
AW,175.0,489000.0,15774
AD,176.0,475000.0,15322
FO,177.0,472000.0,15225
GF,178.0,432000.0,13935
SS,179.0,405000.0,13064
BI,180.0,404000.0,13032
GI,181.0,400000.0,12903
BM,182.0,397000.0,12806
KY,183.0,390000.0,12580
MC,184.0,389000.0,12548
CV,185.0,374000.0,12064
TD,186.0,372000.0,12000
LC,187.0,355000.0,11451
LI,188.0,336000.0,10838
DJ,189.0,333000.0,10741
AX,190.0,321000.0,10354
VI,191.0,319000.0,10290
ER,192.0,302000.0,9741
GM,193.0,282000.0,9096
SZ,194.0,274000.0,8838
LS,195.0,265000.0,8548
SM,196.0,237000.0,7645
TL,197.0,229000.0,7387
AG,198.0,226000.0,7290
GQ,199.0,218000.0,7032
