,lang_code,lang_url,main_page
0,en,/wiki/Main_Page,Main_Page
1,ceb,https://ceb.wikipedia.org/wiki/,Unang_Panid
2,sv,https://sv.wikipedia.org/wiki/,Portal:Huvudsida
3,de,https://de.wikipedia.org/wiki/,Wikipedia:Hauptseite
4,fr,https://fr.wikipedia.org/wiki/,Wikipédia:Accueil_principal
5,nl,https://nl.wikipedia.org/wiki/,Hoofdpagina
6,ru,https://ru.wikipedia.org/wiki/,Заглавная_страница
7,it,https://it.wikipedia.org/wiki/,Pagina_principale
8,es,https://es.wikipedia.org/wiki/,Wikipedia:Portada
9,pl,https://pl.wikipedia.org/wiki/,Wikipedia:Strona_główna
10,arz,https://arz.wikipedia.org/wiki/,الصفحه_الرئيسيه
11,ja,https://ja.wikipedia.org/wiki/,メインページ
12,vi,https://vi.wikipedia.org/wiki/,Trang_Chính
13,war,https://war.wikipedia.org/wiki/,Syahan_nga_Pakli
14,zh,https://zh.wikipedia.org/wiki/,Wikipedia:首页
15,ar,https://ar.wikipedia.org/wiki/,الصفحة_الرئيسية
16,uk,https://uk.wikipedia.org/wiki/,Головна_сторінка
17,pt,https://pt.wikipedia.org/wiki/,Wikipédia:Página_principal
18,fa,https://fa.wikipedia.org/wiki/,صفحهٔ_اصلی
19,ca,https://ca.wikipedia.org/wiki/,Portada
20,sr,https://sr.wikipedia.org/wiki/,Главна_страна
21,id,https://id.wikipedia.org/wiki/,Halaman_Utama
22,no,https://no.wikipedia.org/wiki/,Portal:Forside
23,ko,https://ko.wikipedia.org/wiki/,위키백과:대문
24,fi,https://fi.wikipedia.org/wiki/,Wikipedia:Etusivu
25,hu,https://hu.wikipedia.org/wiki/,Kezdőlap
26,cs,https://cs.wikipedia.org/wiki/,Hlavní_strana
27,sh,https://sh.wikipedia.org/wiki/,Glavna_stranica
28,zh-min-nan,https://zh-min-nan.wikipedia.org/wiki/,Thâu-ia̍h
29,tr,https://tr.wikipedia.org/wiki/,Anasayfa
30,ro,https://ro.wikipedia.org/wiki/,Pagina_principală
31,ce,https://ce.wikipedia.org/wiki/,Коьрта_агӀо
32,eu,https://eu.wikipedia.org/wiki/,Azala
33,ms,https://ms.wikipedia.org/wiki/,Laman_Utama
34,tt,https://tt.wikipedia.org/wiki/,Баш_бит
35,eo,https://eo.wikipedia.org/wiki/,Vikipedio:Ĉefpaĝo
36,he,https://he.wikipedia.org/wiki/,עמוד_ראשי
37,hy,https://hy.wikipedia.org/wiki/,Գլխավոր_էջ
38,bg,https://bg.wikipedia.org/wiki/,Начална_страница
39,da,https://da.wikipedia.org/wiki/,Forside
40,azb,https://azb.wikipedia.org/wiki/,آنا_صفحه
41,sk,https://sk.wikipedia.org/wiki/,Hlavná_stránka
42,kk,https://kk.wikipedia.org/wiki/,Басты_бет
43,min,https://min.wikipedia.org/wiki/,Laman_Utamo
44,et,https://et.wikipedia.org/wiki/,Vikipeedia:Esileht
45,hr,https://hr.wikipedia.org/wiki/,Glavna_stranica
46,be,https://be.wikipedia.org/wiki/,Галоўная_старонка
47,lt,https://lt.wikipedia.org/wiki/,Pagrindinis_puslapis
48,el,https://el.wikipedia.org/wiki/,Πύλη:Κύρια
49,simple,https://simple.wikipedia.org/wiki/,Main_Page
50,az,https://az.wikipedia.org/wiki/,Ana_səhifə
51,gl,https://gl.wikipedia.org/wiki/,Portada
52,sl,https://sl.wikipedia.org/wiki/,Glavna_stran
53,ur,https://ur.wikipedia.org/wiki/,صفحۂ_اول
54,nn,https://nn.wikipedia.org/wiki/,Hovudside
55,ka,https://ka.wikipedia.org/wiki/,მთავარი_გვერდი
56,hi,https://hi.wikipedia.org/wiki/,मुखपृष्ठ
57,ta,https://ta.wikipedia.org/wiki/,முதற்_பக்கம்
58,th,https://th.wikipedia.org/wiki/,หน้าหลัก
59,uz,https://uz.wikipedia.org/wiki/,Bosh_Sahifa
60,la,https://la.wikipedia.org/wiki/,Vicipaedia:Pagina_prima
61,cy,https://cy.wikipedia.org/wiki/,Hafan
62,ast,https://ast.wikipedia.org/wiki/,Portada
63,vo,https://vo.wikipedia.org/wiki/,Cifapad
64,zh-yue,https://zh-yue.wikipedia.org/wiki/,頭版
65,mk,https://mk.wikipedia.org/wiki/,Главна_страница
66,bn,https://bn.wikipedia.org/wiki/,প্রধান_পাতা
67,lv,https://lv.wikipedia.org/wiki/,Sākumlapa
68,tg,https://tg.wikipedia.org/wiki/,Саҳифаи_аслӣ
69,my,https://my.wikipedia.org/wiki/,ဗဟိုစာမျက်နှာ
70,af,https://af.wikipedia.org/wiki/,Tuisblad
71,mg,https://mg.wikipedia.org/wiki/,Wikipedia:Fandraisana
72,bs,https://bs.wikipedia.org/wiki/,Početna_strana
73,oc,https://oc.wikipedia.org/wiki/,Acuèlh
74,sq,https://sq.wikipedia.org/wiki/,Faqja_kryesore
75,nds,https://nds.wikipedia.org/wiki/,Wikipedia:Hööftsiet
76,ky,https://ky.wikipedia.org/wiki/,Башбарак
77,mr,https://mr.wikipedia.org/wiki/,मुखपृष्ठ
78,be-tarask,https://be-tarask.wikipedia.org/wiki/,Галоўная_старонка
79,ml,https://ml.wikipedia.org/wiki/,പ്രധാന_താൾ
80,new,https://new.wikipedia.org/wiki/,मू_पौ
81,te,https://te.wikipedia.org/wiki/,మొదటి_పేజీ
82,br,https://br.wikipedia.org/wiki/,Degemer
83,vec,https://vec.wikipedia.org/wiki/,Wikipedia:Prinsipio
84,sw,https://sw.wikipedia.org/wiki/,Mwanzo
85,pms,https://pms.wikipedia.org/wiki/,Intrada
86,jv,https://jv.wikipedia.org/wiki/,Wikipedia:Pendhapa
87,pnb,https://pnb.wikipedia.org/wiki/,پہلا_صفہ
88,ht,https://ht.wikipedia.org/wiki/,Paj_Prensipal
89,su,https://su.wikipedia.org/wiki/,Tepas
90,lb,https://lb.wikipedia.org/wiki/,Haaptsäit
91,ba,https://ba.wikipedia.org/wiki/,Баш_бит
92,ga,https://ga.wikipedia.org/wiki/,Príomhleathanach
93,szl,https://szl.wikipedia.org/wiki/,Przodniŏ_zajta
94,is,https://is.wikipedia.org/wiki/,Forsíða
95,ku,https://ku.wikipedia.org/wiki/,Destpêk
96,lmo,https://lmo.wikipedia.org/wiki/,Pagina_principala
97,cv,https://cv.wikipedia.org/wiki/,Тĕп_страница
98,fy,https://fy.wikipedia.org/wiki/,Haadside
99,tl,https://tl.wikipedia.org/wiki/,Unang_Pahina
100,wuu,https://wuu.wikipedia.org/wiki/,封面
101,sco,https://sco.wikipedia.org/wiki/,Main_Page
102,an,https://an.wikipedia.org/wiki/,Portalada
103,diq,https://diq.wikipedia.org/wiki/,Pela_Seri
