,lang_code,search_page
0,en,Special:Search
1,ceb,Espesyal:Pangita
2,sv,Special:Sök
3,de,Spezial:Suche
4,fr,Spécial:Recherche
5,nl,Speciaal:Zoeken
6,ru,Служебная:Поиск
7,it,Speciale:Ricerca
8,es,Especial:Buscar
9,pl,Specjalna:Szukaj
10,arz,خاص:تدوير
11,ja,特別:検索
12,vi,Đặc_biệt:Tìm_kiếm
13,war,Pinaurog:Bilnga
14,zh,Special:搜索
15,ar,خاص:بحث
16,uk,Спеціальна:Пошук
17,pt,Especial:Pesquisar
18,fa,ویژه:جستجو
19,ca,Especial:Cerca
20,sr,Посебно:Претражи
21,id,Istimewa:Pencarian
22,no,Spesial:Søk
23,ko,특수:검색
24,fi,Toiminnot:Haku
25,hu,Speciális:Keresés
26,cs,Speciální:Hledání
27,sh,Posebno:Traži
28,zh-min-nan,Tek-pia̍t:尋討
29,tr,Özel:Ara
30,ro,Special:Căutare
31,ce,Белхан:Лахар
32,eu,Berezi:Bilatu
33,ms,Khas:Cari
34,tt,Махсус:Эзләү
35,eo,Specialaĵo:Serĉi
36,he,מיוחד:חיפוש
37,hy,Սպասարկող:Որոնել
38,bg,Специални:Търсене
39,da,Speciel:Søgning
40,azb,اؤزل:آختار
41,sk,Špeciálne:Hľadanie
42,kk,Арнайы:Іздеу
43,min,Istimewa:Cari
44,et,Eri:Otsimine
45,hr,Posebno:Traži
46,be,Адмысловае:Search
47,lt,Specialus:Paieška
48,el,Ειδικό:Αναζήτηση
49,simple,Special:Search
50,az,Xüsusi:Axtar
51,gl,Especial:Procurar
52,sl,Posebno:Iskanje
53,ur,خاص:تلاش
54,nn,Spesial:Søk
55,ka,სპეციალური:ძიება
56,hi,विशेष:खोज
57,ta,சிறப்பு:Search
58,th,พิเศษ:ค้นหา
59,uz,Maxsus:Search
60,la,Specialis:Quaerere
61,cy,Arbennig:Search
62,ast,Especial:Gueta
63,vo,Patikos:Suk
64,zh-yue,Special:搜索
65,mk,Специјална:Барај
66,bn,বিশেষ:অনুসন্ধান
67,lv,Special:Search
68,tg,Вижа:Ҷустуҷӯ
69,my,အထူး:ရှာဖွေရန်
70,af,Spesiaal:Soek
71,mg,Manokana:Fikarohana
72,bs,Posebno:Pretraga
73,oc,Especial:Recèrca
74,sq,Speciale:Kërkim
75,nds,Spezial:Söök
76,ky,Атайын:Search
77,mr,विशेष:शोधा
78,be-tarask,Спэцыяльныя:Пошук
79,ml,പ്രത്യേകം:അന്വേഷണം
80,new,विशेष:Search
81,te,ప్రత్యేక:అన్వేషణ
82,br,Dibar:Klask
83,vec,Speçałe:Serca
84,sw,Maalum:Tafuta
85,pms,Special:Ricerca
86,jv,Mirunggan:Golèk
87,pnb,خاص:Search
88,ht,Espesyal:Chache
89,su,Husus:Sungsi
90,lb,Spezial:Sichen
91,ba,Махсус:Эҙләү
92,ga,Speisialta:Search
93,szl,Szpecyjalna:Szukaj
94,is,Kerfissíða:Leit
95,ku,Taybet:Lêgerîn
96,lmo,Special:Riçerca
97,cv,Ятарлă:Поиск
98,fy,Wiki:Sykje
99,tl,Natatangi:Maghanap
100,wuu,Special:搜索
101,sco,Special:Search
102,an,Especial:Mirar
103,diq,Bağse:Cıgeyre
104,pa,ਖ਼ਾਸ:ਖੋਜੋ
105,ckb,تایبەت:گەڕان
106,yo,Pàtàkì:Search
107,ne,विशेष:Search
108,bar,Spezial:Suche
109,io,Specala:Serchar
110,gu,વિશેષ:શોધ
111,als,Spezial:Suech
112,kn,ವಿಶೇಷ:Search
113,scn,Spiciali:Arriscedi
114,bpy,বিশেষ:অনুসন্ধান
115,ia,Special:Recerca
116,qu,Sapaq:Maskay
117,mn,Тусгай:Search
118,si,විශේෂ:ගවේෂණය
119,bat-smg,Specēlos:Paieška
120,nv,Special:Search
121,xmf,სპეციალური:ძიება
122,or,ବିଶେଷ:ଖୋଜନ୍ତୁ
123,avk,Aptaca:Aneyara
124,cdo,特殊:尋討
125,gd,Sònraichte:Search
126,ilo,Espesial:Search
127,yi,באַזונדער:זוכן
128,am,ልዩ:Search
129,nap,Speciàle:Ricerca
130,sd,خاص:ڳولا
131,bug,Istimewa:Pencarian
132,frr,Spezial:Suche
133,os,Сæрмагонд:Агурын
134,hsb,Specialnje:Pytać
135,mai,विशेष:खोज
136,fo,Serstakt:Leita
137,map-bms,Mirunggan:Golèk
138,li,Speciaal:Zeuke
139,mzn,شا:جستجو
140,sah,Аналлаах:Көрдөөһүн
141,eml,Speciale:Ricerca
142,ace,Kusuih:Mita
143,ps,ځانگړی:پلټنه
144,gor,Spesial:Lolohe
145,sa,विशेषः:अन्वेषणम्
146,ha,Special:Search
147,bcl,Espesyal:Hanapon
148,wa,Sipeciås:Cweri
149,crh,Mahsus:Search
150,zh-classical,特殊:尋
151,lij,Speçiale:Riçerca
152,mrj,Спецӹлӹштӓш:Кычалмаш
